N,mkl,sysfftw,amdfftw,peakfft
1024,1.58171504e-06,5.87905088e-07,3.97695112e-07,2.06857498e-06
4096,8.15408013e-06,3.12885968e-06,1.99934002e-06,5.22578019e-06
8192,3.54857004e-05,1.08435203e-05,8.93454009e-06,1.23245001e-05
16384,0.00010536504,3.13741999e-05,2.01940403e-05,2.41229997e-05
32768,5.52541396e-05,3.53404402e-05,3.01226397e-05,4.859988e-05
65536,0.000162169797,0.000166035199,0.000117945002,0.000162614603
131072,0.000452319597,0.000486197195,0.000355137599,0.000514880801
262144,0.0014985482,0.002706624,0.001693794,0.0021267534
524288,0.013957525,0.014165956,0.00874070998,0.011987694
1048576,0.032784245,0.033369642,0.017801579,0.024877248
