N,B,mkl,sysfftw,amdfftw,peakfft,peakfft_thr,relerr,idxbad
1024,16,1.14345621e-06,9.38915582e-07,8.11206246e-07,2.87795629e-06,1.83828752e-06,8.766e-08,0
1024,32,1.25741872e-06,1.00994066e-06,9.19785907e-07,3.23817812e-06,2.04672656e-06,2.125e-07,0
1024,64,1.59544297e-06,1.19103672e-06,8.7154765e-07,8.63094767e-06,4.64200311e-06,1.879e-07,0
1024,128,5.10996641e-06,2.55749179e-06,2.37581485e-06,1.42886949e-05,1.1136082e-05,1.597e-07,0
4096,16,2.08185125e-05,5.07743434e-06,4.66062183e-06,4.86214501e-05,4.64950844e-05,2.056e-07,0
4096,32,3.89025047e-05,1.73873078e-05,1.21112172e-05,4.63734656e-05,4.60437672e-05,9.569e-08,0
4096,64,6.26912969e-05,8.87118789e-05,8.30499859e-05,5.2279957e-05,5.22709953e-05,2.036e-07,0
4096,128,6.88616012e-05,9.17885449e-05,8.83335715e-05,5.19925273e-05,5.16565336e-05,1.846e-07,0
16384,16,0.000453218753,0.000466273509,0.000369902369,0.000111973644,0.000110949125,2.693e-07,0
16384,32,0.000458870144,0.000497776248,0.000361466769,0.000125037727,0.000124863462,2.393e-07,0
16384,64,0.000426965289,0.000397365488,0.000374162726,0.000125026784,0.000110624752,2.633e-07,0
16384,128,0.000491037166,0.000441954451,0.000398977592,0.000130329473,0.000133112998,2.523e-07,0
65536,16,0.00287547082,0.00228026446,0.00197959385,0.000999151281,0.0010170702,2.374e-07,0
65536,32,0.00288142914,0.00223177169,0.00171805847,0.00103478831,0.00102983613,2.746e-07,0
65536,64,0.00283740202,0.00204493491,0.00160761022,0.000960137922,0.000997151496,2.367e-07,0
65536,128,0.00276470815,0.00154620565,0.00134141467,0.00109630088,0.00109340251,2.925e-07,0
262144,16,0.015028122,0.0146576654,0.0119267752,0.00991287897,0.00994576284,3.071e-07,0
