N,B,mkl,sysfftw,amdfftw,peakfft,peakfft_thr,peakfft_binmax,relerr,idxbad
1024,16,1.02683125e-06,6.69349993e-07,5.3578442e-07,8.64649974e-07,7.01784393e-07,6.28018734e-07,1.118e-07,0
1024,32,1.03775778e-06,6.53178131e-07,4.36584378e-07,7.9824531e-07,6.16545321e-07,5.74420301e-07,2.255e-07,0
1024,64,1.02247109e-06,7.38892982e-07,6.09799235e-07,8.82388281e-07,5.32364834e-07,5.36904668e-07,1.503e-07,0
1024,128,1.4145457e-06,1.18353867e-06,7.81449216e-07,1.67723359e-06,5.71849216e-07,6.39276561e-07,2.019e-07,0
4096,16,9.49514379e-06,5.25306559e-06,3.52711249e-06,4.5358157e-06,3.75009058e-06,4.05410001e-06,1.365e-07,0
4096,32,1.24401766e-05,6.75146716e-06,4.74494063e-06,6.80181092e-06,5.65849687e-06,5.58921092e-06,1.407e-07,0
4096,64,6.8177008e-06,6.55399533e-06,4.84474451e-06,5.28860783e-06,4.24038594e-06,4.13955624e-06,2.322e-07,0
4096,128,2.40742887e-05,3.71761785e-05,3.52194836e-05,1.45667176e-05,1.23008063e-05,8.06520352e-06,1.534e-07,0
16384,16,0.000193527494,0.000191873956,0.000158276891,3.99102438e-05,2.09725625e-05,2.10167031e-05,2.171e-07,0
16384,32,0.000205183764,0.000239119875,0.000164035528,8.39262625e-05,8.50900078e-05,8.34869234e-05,1.314e-07,0
16384,64,0.000194982503,0.000181450898,0.000177577927,8.51308805e-05,8.45057477e-05,8.38604836e-05,2.458e-07,0
16384,128,0.000199041361,0.000197721953,0.000173521457,8.69754472e-05,6.40042852e-05,6.79844395e-05,2.326e-07,0
65536,16,0.00103435609,0.000877627478,0.000645225928,0.000318261356,0.000311677862,0.000314056722,2.485e-07,0
65536,32,0.000867158906,0.000693927484,0.000806309765,0.000319941641,0.000304395867,0.000297361586,2.456e-07,0
65536,64,0.00119305941,0.000861051164,0.000703663231,0.000322591887,0.000325890453,0.000329732184,2.360e-07,0
65536,128,0.00119024302,0.000608631389,0.000524812936,0.000330302648,0.000330545264,0.000327667221,2.180e-07,0
262144,16,0.00554719189,0.00660855042,0.00388780214,0.00173329361,0.00127929489,0.00123777644,2.636e-07,0
262144,32,0.00813780152,0.00413286168,0.00546637288,0.00150492081,0.00151264036,0.00146878816,3.195e-07,0
262144,64,0.00824842436,0.00432738523,0.00559628908,0.00163184781,0.00121598839,0.00125891323,1.471e-07,0
