N,B,mkl,sysfftw,amdfftw,peakfft,peakfft_thr,peakfft_binmax,relerr,idxbad
1024,16,7.73949978e-07,3.97525037e-07,2.73012483e-07,5.19284367e-07,3.7701875e-07,3.61615639e-07,1.118e-07,0
1024,32,7.85503107e-07,4.00703129e-07,2.75689081e-07,5.35065601e-07,3.79618768e-07,3.70115595e-07,2.255e-07,0
1024,64,8.03294529e-07,4.59095304e-07,3.16319529e-07,5.4434845e-07,3.72659383e-07,3.67946882e-07,1.503e-07,0
1024,128,8.38728124e-07,4.66276163e-07,3.5219532e-07,5.85515227e-07,3.94931635e-07,3.91816798e-07,2.019e-07,0
4096,16,4.04214061e-06,2.23926254e-06,1.52426555e-06,2.87363746e-06,2.45795e-06,2.8974312e-06,1.365e-07,0
4096,32,4.06698282e-06,2.4944422e-06,1.65236247e-06,3.09902812e-06,2.7299297e-06,3.25759065e-06,1.407e-07,0
4096,64,4.03471092e-06,2.43422655e-06,1.76921485e-06,3.17026249e-06,2.70101564e-06,3.20816953e-06,2.322e-07,0
4096,128,4.1147168e-06,2.52069765e-06,1.83401993e-06,3.87793282e-06,2.94521601e-06,3.40652188e-06,1.534e-07,0
16384,16,2.14935063e-05,1.16787343e-05,8.74357811e-06,1.07439531e-05,1.02129563e-05,1.21246657e-05,2.171e-07,0
16384,32,2.14940234e-05,1.25405063e-05,9.20451876e-06,1.12347625e-05,1.03661812e-05,1.22256031e-05,1.314e-07,0
16384,64,2.29561859e-05,1.36590633e-05,1.09751266e-05,1.15525297e-05,1.03481148e-05,1.21589633e-05,2.458e-07,0
16384,128,3.22392559e-05,2.42806094e-05,1.78108457e-05,1.58790605e-05,1.11311777e-05,1.28393594e-05,2.326e-07,0
65536,16,0.000111013866,6.84429125e-05,4.38886718e-05,5.15532593e-05,5.01784281e-05,5.84448625e-05,2.485e-07,0
65536,32,0.000188958797,9.56699453e-05,7.96899999e-05,6.19204375e-05,5.22905154e-05,6.04864219e-05,2.456e-07,0
65536,64,0.000231999473,0.000104958965,8.10849531e-05,7.10348281e-05,6.84441133e-05,7.71491797e-05,2.360e-07,0
65536,128,0.000232002133,0.000182588887,0.000103877072,7.1680666e-05,7.02272598e-05,7.81145039e-05,2.180e-07,0
262144,16,0.00112540572,0.000525017234,0.000432716094,0.000294017359,0.000285519234,0.000316038641,2.636e-07,0
262144,32,0.00115072427,0.000625940383,0.000519733648,0.000298083578,0.00029568643,0.000330292234,3.195e-07,0
262144,64,0.00113840164,0.000623223188,0.000524425969,0.000302860656,0.000298098281,0.000333490875,1.471e-07,0
262144,128,0.00114402188,0.000622968086,0.000519685586,0.000299987773,0.000298119266,0.00033170668,2.337e-07,0
1048576,16,0.00386032963,0.00603626319,0.00464435356,0.00176626131,0.00167592512,0.00183708156,2.117e-07,0
1048576,32,0.00385997581,0.00582183847,0.00442870437,0.00179326381,0.00171771219,0.00189817984,2.269e-07,0
1048576,64,0.00383398038,0.00619633731,0.00446097156,0.00173868948,0.00172597833,0.00186111069,9.930e-08,0
1048576,128,0.00379625936,0.00623053039,0.00449758291,0.0017043808,0.00169480458,0.00183866251,1.993e-07,0
