symbol,instructions,stack_operands,fma,branches
ap::N_AVX2::supported(unsigned long)@plt,3,0,0,2
ap::N_AVX2::destroy(void*)@plt,3,0,0,2
ap::N_AVX3::destroy(void*)@plt,3,0,0,2
ap::N_AVX3::supported(unsigned long)@plt,3,0,0,2
ap::N_SSE4::supported(unsigned long)@plt,3,0,0,2
ap::N_SSE4::destroy(void*)@plt,3,0,0,2
"ap::N_AVX2::stageB_load_many(ap::N_AVX2::BP*, int, int)",93,16,0,7
ap::N_AVX2::has_prod(void*),5,0,0,0
ap::N_AVX2::series_stride(void*),2,0,0,0
"ap::N_AVX2::split(void*, int*, int*)",10,0,0,1
ap::N_AVX2::pairbatch(void*),7,0,0,0
"ap::N_AVX3::stageB_load_many(ap::N_AVX3::BP*, int, int)",103,14,0,7
ap::N_AVX3::has_prod(void*),5,0,0,0
ap::N_AVX3::series_stride(void*),2,0,0,0
"ap::N_AVX3::split(void*, int*, int*)",10,0,0,1
ap::N_AVX3::pairbatch(void*),7,0,0,0
"ap::N_SSE4::stageB_load_many(ap::N_SSE4::BP*, int, int)",87,16,0,7
ap::N_SSE4::has_prod(void*),5,0,0,0
ap::N_SSE4::series_stride(void*),2,0,0,0
"ap::N_SSE4::split(void*, int*, int*)",10,0,0,1
ap::N_SSE4::pairbatch(void*),7,0,0,0
"ap::N_AVX2::interp_max(void*, unsigned long, unsigned long, float, float const*, float const*, int, int, float)",157,13,8,22
"ap::N_AVX3::interp_max(void*, unsigned long, unsigned long, float, float const*, float const*, int, int, float)",159,11,8,22
"ap::N_SSE4::interp_max(void*, unsigned long, unsigned long, float, float const*, float const*, int, int, float)",176,23,0,22
ap::N_AVX2::destroy(void*),54,0,0,2
ap::N_AVX3::destroy(void*),54,0,0,2
ap::N_SSE4::destroy(void*),54,0,0,2
ap::N_AVX2::Backend(),20,3,0,2
ap::N_AVX3::Backend(),20,3,0,2
ap::N_SSE4::Backend(),20,3,0,2
"ap::N_AVX2::fftsr16_tw(hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",404,90,46,0
"ap::N_AVX2::fftsr32_tw(hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",1006,295,114,0
"ap::N_AVX2::fft64_tw(hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",2744,708,286,0
"ap::N_AVX3::fftsr16_tw(hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",346,21,46,0
"ap::N_AVX3::fftsr32_tw(hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",888,149,114,0
"ap::N_AVX3::fftsr64_tw(hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",2190,517,270,0
"ap::N_SSE4::fftsr16_tw(hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",610,85,0,0
"ap::N_SSE4::fftsr32_tw(hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",1558,296,0,0
"ap::N_SSE4::fft64_tw(hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, float const*, float const*) [clone .constprop.0] [clone .isra.0]",4268,735,0,0
"ap::N_SSE4::fftsr16_prod(float const*, float const*, float const*, float const*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, long) [clone .isra.0]",692,121,0,0
"ap::N_SSE4::fftsr32(hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long) [clone .isra.0]",1368,420,0,0
"ap::N_SSE4::fftsr16(hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long) [clone .isra.0]",513,136,0,0
"ap::N_SSE4::fft64_prod(float const*, float const*, float const*, float const*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, long) [clone .isra.0]",4258,672,0,0
"ap::N_SSE4::fft32_prod(float const*, float const*, float const*, float const*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, long) [clone .isra.0]",1862,259,0,0
"ap::N_SSE4::fft16_prod(float const*, float const*, float const*, float const*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, long) [clone .isra.0]",855,151,0,0
"ap::N_SSE4::fft8_prod(float const*, float const*, float const*, float const*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, long) [clone .isra.0]",289,28,0,0
"ap::N_SSE4::fft64_88(hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long) [clone .isra.0]",3545,857,0,0
"ap::N_AVX3::fftsr64_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",2451,526,272,0
"ap::N_AVX3::fftsr32_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",1025,157,116,0
