file,sha256,threads,valid_on_1024_thread_device,VGPRs,Spilled VGPRs,Scratch size,LDS size,Instructions,Code size,Subgroups per SIMD
coarse_1024.spv,97235a35941c631dc9b28b61d331114d9e7d11d9fa7e35d0b60f036c8de9c9d8,128,True,256,0,0,32768,1706,8244,4
coarse_256.spv,0a158c9ad535a6ac19e27c7f25248757854d84ce4e1c030ebb9a738405f9112b,64,True,192,0,0,8192,754,3616,8
coarse_512.spv,b39cfb2bead89c8ebbfea16c70dd76e46c02dbd1c5b2906be39505ef18163cf9,64,True,256,0,0,16384,1526,7380,4
compact_1024.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_128.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_16384.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_2048.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_256.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_32768.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_4096.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_512.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_64.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_65536.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
compact_8192.spv,49057a9b47338a4ff8b0818a73cc045af1accf616c492f4dbacd234049d86750,256,True,12,0,0,0,60,296,32
forward_1024.spv,5a359793d4287e499a40fc5e571f40438138378fabdb93e40f49cc7c87503140,64,True,108,0,0,4096,1991,10388,14
forward_128.spv,57439451583787ac0183097f83a96d52bd5ce582c74d36d3c4ec885c53abf30d,8,True,96,0,0,1024,812,5116,16
forward_16384.spv,323a8b5ec86fe5b63ba0ab9035c9429a553013b77b35da4983f759e82d781a13,1024,True,96,49,3072,32768,4253,23408,16
forward_2048.spv,0c671b1fe7f4cff3ecd6cb97e18b1d920c49e32a12f9be40abb9c113299e4ad8,128,True,108,0,0,8192,2199,11524,14
forward_256.spv,28e9a524d933568044779182a959e6e5625b34d5912b8aba7ad8ed16b78cb134,16,True,96,0,0,2048,823,5324,16
forward_32768.spv,51d93f0ad540d0d1b32c07c41114c2c0375f92b6e05850ebaff3e765e3d63ac3,1024,True,96,1981,32256,32768,14465,85064,16
forward_4096.spv,879aaf49fa78c6cb837104d03c7b07f113bb31c9232e55c2e3d4cac1779bf20f,256,True,120,0,0,16384,2247,11812,12
forward_512.spv,6717343f988beef2c24a7b77bd59dfed38d114a60cf5a90c93206610a41fb316,32,True,192,0,0,4096,1151,7240,8
forward_64.spv,72af14e1aedff8facea19dea246b69bf7a1f96836335d63c2b2b7b6e082d616f,4,True,96,0,0,1024,808,5028,16
forward_65536.spv,ddafdc5afeef71bce1df12c5ac7334c8eb8534a76ae7fb10913b3839c06330da,1024,True,96,11278,89600,32768,60713,372876,16
forward_8192.spv,1c8ad578f715128735f75b930cdb455e763df58f7e611b0c2cb348a58ae39edd,512,True,144,0,0,32768,3011,15808,10
pack_coarse.spv,0dfe0529e0b07566326a622f611e65e805d76e3e0721c9548a7c884882348668,256,True,12,0,0,0,61,308,32
refine_1024.spv,3b2dcdff721dec54fa3a9ad464c3f71824adf46fa37da80395b2c46c3bdf89b9,64,True,108,0,0,4096,3361,17340,14
refine_128.spv,e9d63c09c39601b0ed1778fef6f4d5cbe0c9bd0768dd1dac7bc69091a121afff,8,True,120,0,0,1024,2240,12348,12
refine_16384.spv,17bbfdc7f65525e77a8dd4d1394a0a8b2756f681c9d16c672dc0d6a60139d3ae,1024,True,96,27,1280,65536,4542,23884,16
refine_16384_lds32.spv,8127032578968d2c845e8e4059494815bba8eda62ef2a8430c62621b4fc7bab3,1024,True,96,60,3072,32768,5689,30856,16
refine_2048.spv,169a855d66bffaa6fdb1702c578b668c73c7adaa7345df375f9cbc14c68036d3,128,True,108,0,0,8192,3603,18764,14
refine_256.spv,f951116ed3f00d87fa7bc0a4c5ff79ca7ad0e999555db712193f97dfea839910,16,True,120,0,0,2048,2240,12412,12
refine_32768.spv,02dddee0a1362143eadb704745922acec52333ffcd7d31b1efadbd75cfa0ad0f,1024,True,96,1248,30720,65536,12776,72340,16
refine_32768_lds32.spv,1a19cc13ed57ad3e78f74f3761353493029e0caad56dca6e25f9817a6708ff90,1024,True,96,2325,32256,32768,18297,106836,16
refine_4096.spv,aa8abfa056ac81c5b234b68986f093a9906bd66b474c210974d5d449538e6e7d,256,True,120,0,0,16384,3647,19020,12
refine_512.spv,46e82a251f0cd98822538fa22978ba7d68f5f098e0e3e1d94f27d2a9abe12de4,32,True,192,0,0,4096,2436,13884,8
refine_64.spv,b13604ed40399626399d8301dbff9345cea4a3dd2d4093466a67f986a65196ff,4,True,120,0,0,1024,2257,12348,12
refine_65536.spv,9a5da7c18b99b95b58019b2f4ae32a6196a8458fc235c689e64160af5e290edc,1024,True,96,7415,88320,65536,48161,284368,16
refine_65536_lds32.spv,e0434f6b3e3a39bdf89393d1931e8375ae87374660f7ffb00be76555d39e490b,1024,True,96,12787,90368,32768,74749,449984,16
refine_8192.spv,8f6b1a05489f2d3971d27146e86a9c9ac5f705774a4a0d83ddabc13f8fbbf9e5,512,True,192,0,0,65536,3883,19852,8
refine_8192_lds32.spv,2d7fad7384fcbf6225c889a4c303aae7e254a3f0e9f8fcd41e9ab661f55012ad,512,True,192,0,0,32768,4403,22988,8
tierb_1024.spv,de04f72fa2826fb486335634c4dac321b1184033da3c25d76c901ea85ccf8e7f,64,True,108,0,0,4096,3356,17276,14
tierb_1024_c16.spv,cfbf3342a3b8e68a15f8ef3d9a1cd2bb33b55f6c8fba317ab5f43e1b787ee9fa,64,True,84,0,0,2048,2166,12492,18
tierb_1024_c16p2.spv,07b1da075b7e0cae3630b1d7cceb4c4dc1ad5685d3045c5260f21cdd5e70aa51,128,True,96,0,0,4096,2448,14144,16
tierb_1024_c16p2t2.spv,dc454588bee59c71e006140b8a58f2ea75be2ede6c668da5f8ac6c23f1ddb15c,128,True,108,0,0,4096,3826,22520,14
tierb_1024_c16p4.spv,10636905ea7460a10086fde798bcf2b922b3842a326e063bf5a37c895b8ba522,256,True,96,0,0,8192,2448,14144,16
tierb_1024_c16p4t2.spv,d057ebf2e7ae636a429783a735fd7b3bac44e766a5cbbfed0bfbaea4f8010681,256,True,120,0,0,8192,3826,22520,12
tierb_1024_c16t2.spv,1f9009bfcaa00cf70cfafc367eeec2caf03fee1bdc0d9c2f2a6a440b0c391845,64,True,108,0,0,2048,3442,20456,14
tierb_128.spv,2ef3ec5cef405b4b28744907100d264ea41a349bdd38139b730bf85f92f353de,8,True,120,0,0,1024,2234,12284,12
