# matchedfilter ACCURACY table -- false dismissal, measured
#
# commit  bb35f23
# trials  24000 injected per cell
#
# A property of the ALGORITHM, not of any machine.
#
# KEY: n, taps, snr, in-band fraction f, effective bandwidth B_eff, coarse
# margin. BAND IS NOT IN THE KEY. Measured at n=8192, f=0.99, B_eff=16, the
# dismissal across bands 256, 512, 1024 and 2048 is 1.64, 1.88, 1.77 and
# 1.75e-2 -- a 1.14x spread inside the error bars, across band/B_eff from 16
# to 128. A candidate band enters only through the (f, B_eff) at its own
# edge, which selection computes from the reference.
#
# B_eff is sampled ABSOLUTELY, not as a fraction of the band. The previous
# grid did the latter, which tied it to the variable that does not matter
# and left a floor near band/10 -- so it never reached the values real
# references have. The FIR-search reference sits at B_eff 1.1 at every band.
#
# The margin dominates: 90x across 0.97 to 1.00, against 1.6x for 16x of n
# and 1.14x across every band. It gets the finest ladder.
#
# Rates below about 3/trials are not resolved and read as 0.0; that is a
# resolution floor, not a demonstration of safety.
#
# ACC2 n K snr f beff margin dismissal
# n=4096's ACC2 rows were re-measured with the oversample REMOVED.
# Every OTHER length still carries rows measured with the odd coarse
# half present, so they describe an algorithm this code no longer
# runs and must be regenerated before they can be trusted.

# LEGACY rows on the OLD key, for lengths the re-keyed grid
# does not cover yet.
# ACC n band U K snr f beff coarse_margin dismissal
ACC 16384 256 2 4 5.00 0.8500 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 5.00 0.8500 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 5.00 0.8500 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 5.00 0.8500 25.6 1.000 0.0000e+00
ACC 16384 256 2 4 5.00 0.8500 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 5.00 0.8500 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 5.00 0.8500 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 5.00 0.8500 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 5.00 0.9200 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 5.00 0.9200 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 5.00 0.9200 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 5.00 0.9200 25.6 1.000 3.7010e-04
ACC 16384 256 2 4 5.00 0.9200 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 5.00 0.9200 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 5.00 0.9200 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 5.00 0.9200 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 5.00 0.9700 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 5.00 0.9700 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 5.00 0.9700 25.6 0.970 3.7793e-04
ACC 16384 256 2 4 5.00 0.9700 25.6 1.000 1.1338e-03
ACC 16384 256 2 4 5.00 0.9700 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 5.00 0.9700 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 5.00 0.9700 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 5.00 0.9700 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 25.6 1.000 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 5.50 0.8500 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 5.50 0.9200 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 5.50 0.9200 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 5.50 0.9200 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 5.50 0.9200 25.6 1.000 3.8358e-04
ACC 16384 256 2 4 5.50 0.9200 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 5.50 0.9200 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 5.50 0.9200 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 5.50 0.9200 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 25.6 1.000 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 5.50 0.9700 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 6.00 0.8500 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 6.00 0.8500 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 6.00 0.8500 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 6.00 0.8500 25.6 1.000 4.0274e-04
ACC 16384 256 2 4 6.00 0.8500 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 6.00 0.8500 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 6.00 0.8500 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 6.00 0.8500 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 6.00 0.9200 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 6.00 0.9200 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 6.00 0.9200 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 6.00 0.9200 25.6 1.000 3.9635e-04
ACC 16384 256 2 4 6.00 0.9200 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 6.00 0.9200 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 6.00 0.9200 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 6.00 0.9200 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 25.6 1.000 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 6.00 0.9700 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 6.50 0.8500 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 6.50 0.8500 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 6.50 0.8500 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 6.50 0.8500 25.6 1.000 4.1667e-04
ACC 16384 256 2 4 6.50 0.8500 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 6.50 0.8500 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 6.50 0.8500 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 6.50 0.8500 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 6.50 0.9200 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 6.50 0.9200 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 6.50 0.9200 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 6.50 0.9200 25.6 1.000 4.0766e-04
ACC 16384 256 2 4 6.50 0.9200 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 6.50 0.9200 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 6.50 0.9200 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 6.50 0.9200 103.0 1.000 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 25.6 0.900 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 25.6 0.940 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 25.6 0.970 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 25.6 1.000 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 103.0 0.900 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 103.0 0.940 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 103.0 0.970 0.0000e+00
ACC 16384 256 2 4 6.50 0.9700 103.0 1.000 0.0000e+00
ACC 16384 256 2 8 5.00 0.8500 25.6 0.900 0.0000e+00
ACC 16384 256 2 8 5.00 0.8500 25.6 0.940 0.0000e+00
ACC 16384 256 2 8 5.00 0.8500 25.6 0.970 0.0000e+00
ACC 16384 256 2 8 5.00 0.8500 25.6 1.000 3.7286e-04
ACC 16384 256 2 8 5.00 0.8500 103.0 0.900 0.0000e+00
ACC 16384 256 2 8 5.00 0.8500 103.0 0.940 0.0000e+00
ACC 16384 256 2 8 5.00 0.8500 103.0 0.970 0.0000e+00
ACC 16384 256 2 8 5.00 0.8500 103.0 1.000 0.0000e+00
ACC 16384 256 2 8 5.00 0.9200 25.6 0.900 0.0000e+00
ACC 16384 256 2 8 5.00 0.9200 25.6 0.940 0.0000e+00
ACC 16384 256 2 8 5.00 0.9200 25.6 0.970 0.0000e+00
ACC 16384 256 2 8 5.00 0.9200 25.6 1.000 3.7010e-04
ACC 16384 256 2 8 5.00 0.9200 103.0 0.900 0.0000e+00
ACC 16384 256 2 8 5.00 0.9200 103.0 0.940 0.0000e+00
ACC 16384 256 2 8 5.00 0.9200 103.0 0.970 4.0161e-04
ACC 16384 256 2 8 5.00 0.9200 103.0 1.000 1.2048e-03
ACC 16384 256 2 8 5.00 0.9700 25.6 0.900 0.0000e+00
ACC 16384 256 2 8 5.00 0.9700 25.6 0.940 0.0000e+00
ACC 16384 256 2 8 5.00 0.9700 25.6 0.970 3.7793e-04
ACC 16384 256 2 8 5.00 0.9700 25.6 1.000 1.8896e-03
ACC 16384 256 2 8 5.00 0.9700 103.0 0.900 0.0000e+00
ACC 16384 256 2 8 5.00 0.9700 103.0 0.940 0.0000e+00
ACC 16384 256 2 8 5.00 0.9700 103.0 0.970 8.0678e-04
ACC 16384 256 2 8 5.00 0.9700 103.0 1.000 5.2441e-03
ACC 16384 256 2 8 5.50 0.8500 25.6 0.900 0.0000e+00
ACC 16384 256 2 8 5.50 0.8500 25.6 0.940 0.0000e+00
ACC 16384 256 2 8 5.50 0.8500 25.6 0.970 0.0000e+00
ACC 16384 256 2 8 5.50 0.8500 25.6 1.000 3.9108e-04
ACC 16384 256 2 8 5.50 0.8500 103.0 0.900 0.0000e+00
ACC 16384 256 2 8 5.50 0.8500 103.0 0.940 0.0000e+00
ACC 16384 256 2 8 5.50 0.8500 103.0 0.970 0.0000e+00
ACC 16384 256 2 8 5.50 0.8500 103.0 1.000 4.2105e-04
ACC 16384 256 2 8 5.50 0.9200 25.6 0.900 0.0000e+00
ACC 16384 256 2 8 5.50 0.9200 25.6 0.940 0.0000e+00
ACC 16384 256 2 8 5.50 0.9200 25.6 0.970 0.0000e+00
ACC 16384 256 2 8 5.50 0.9200 25.6 1.000 3.8358e-04
ACC 16384 256 2 8 5.50 0.9200 103.0 0.900 0.0000e+00
ACC 16384 256 2 8 5.50 0.9200 103.0 0.940 0.0000e+00
ACC 16384 256 2 8 5.50 0.9200 103.0 0.970 4.1597e-04
ACC 16384 256 2 8 5.50 0.9200 103.0 1.000 1.6639e-03
ACC 16384 256 2 8 5.50 0.9700 25.6 0.900 0.0000e+00
ACC 16384 256 2 8 5.50 0.9700 25.6 0.940 0.0000e+00
ACC 16384 256 2 8 5.50 0.9700 25.6 0.970 0.0000e+00
ACC 16384 256 2 8 5.50 0.9700 25.6 1.000 1.1601e-03
ACC 16384 256 2 8 5.50 0.9700 103.0 0.900 0.0000e+00
ACC 16384 256 2 8 5.50 0.9700 103.0 0.940 0.0000e+00
ACC 16384 256 2 8 5.50 0.9700 103.0 0.970 0.0000e+00
ACC 16384 256 2 8 5.50 0.9700 103.0 1.000 4.9607e-03
ACC 16384 256 2 8 6.00 0.8500 25.6 0.900 0.0000e+00
ACC 16384 256 2 8 6.00 0.8500 25.6 0.940 0.0000e+00
