# matchedfilter COST table -- RELATIVE cost per configuration
#
# device  Apple M2
# arch    apple  (also used for: apple)
# commit  7e2201b
#
# Measured on a GPU, with the data already resident: host
# transfers are not part of the configuration's cost and
# would swamp the differences between configurations.
#
# U is always 2 and K is unused on this backend -- the kernel
# computes the raw coarse maximum -- so rows sharing
# (n, band, snr) share a measurement. They are emitted
# per (U, K) anyway so the table's key matches the CPU one.
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 1024 512 2 4 5.00 1.0000 49.2 0.9902
COST 1024 512 2 8 5.00 1.0000 49.2 0.9902
COST 1024 256 2 4 5.00 0.9882 48.0 0.8042
COST 1024 256 2 8 5.00 0.9882 48.0 0.8042
COST 1024 512 2 4 5.50 1.0000 49.2 0.5932
COST 1024 512 2 8 5.50 1.0000 49.2 0.5932
COST 1024 256 2 4 5.50 0.9882 48.0 0.4777
COST 1024 256 2 8 5.50 0.9882 48.0 0.4777
COST 1024 512 2 4 6.00 1.0000 49.2 1.0094
COST 1024 512 2 8 6.00 1.0000 49.2 1.0094
COST 1024 256 2 4 6.00 0.9882 48.0 0.8047
COST 1024 256 2 8 6.00 0.9882 48.0 0.8047
COST 1024 512 2 4 6.50 1.0000 49.2 0.9950
COST 1024 512 2 8 6.50 1.0000 49.2 0.9950
COST 1024 256 2 4 6.50 0.9882 48.0 0.8019
COST 1024 256 2 8 6.50 0.9882 48.0 0.8019
COST 2048 1024 2 4 5.00 1.0000 98.4 1.0024
COST 2048 1024 2 8 5.00 1.0000 98.4 1.0024
COST 2048 512 2 4 5.00 0.9882 96.1 0.6842
COST 2048 512 2 8 5.00 0.9882 96.1 0.6842
COST 2048 256 2 4 5.00 0.9583 90.4 0.6560
COST 2048 256 2 8 5.00 0.9583 90.4 0.6560
COST 2048 1024 2 4 5.50 1.0000 98.4 0.9955
COST 2048 1024 2 8 5.50 1.0000 98.4 0.9955
COST 2048 512 2 4 5.50 0.9882 96.1 0.6849
COST 2048 512 2 8 5.50 0.9882 96.1 0.6849
COST 2048 256 2 4 5.50 0.9583 90.4 0.6037
COST 2048 256 2 8 5.50 0.9583 90.4 0.6037
COST 2048 1024 2 4 6.00 1.0000 98.4 0.9947
COST 2048 1024 2 8 6.00 1.0000 98.4 0.9947
COST 2048 512 2 4 6.00 0.9882 96.1 0.6950
COST 2048 512 2 8 6.00 0.9882 96.1 0.6950
COST 2048 256 2 4 6.00 0.9583 90.4 0.5957
COST 2048 256 2 8 6.00 0.9583 90.4 0.5957
COST 2048 1024 2 4 6.50 1.0000 98.4 0.9931
COST 2048 1024 2 8 6.50 1.0000 98.4 0.9931
COST 2048 512 2 4 6.50 0.9882 96.1 0.6890
COST 2048 512 2 8 6.50 0.9882 96.1 0.6890
COST 2048 256 2 4 6.50 0.9583 90.4 0.5994
COST 2048 256 2 8 6.50 0.9583 90.4 0.5994
COST 4096 2048 2 4 5.00 1.0000 196.8 0.9989
COST 4096 2048 2 8 5.00 1.0000 196.8 0.9989
COST 4096 1024 2 4 5.00 0.9882 192.1 0.5232
COST 4096 1024 2 8 5.00 0.9882 192.1 0.5232
COST 4096 512 2 4 5.00 0.9584 180.8 0.4034
COST 4096 512 2 8 5.00 0.9584 180.8 0.4034
COST 4096 256 2 4 5.00 0.8832 154.4 0.3773
COST 4096 256 2 8 5.00 0.8832 154.4 0.3773
COST 4096 2048 2 4 5.50 1.0000 196.8 1.0012
COST 4096 2048 2 8 5.50 1.0000 196.8 1.0012
COST 4096 1024 2 4 5.50 0.9882 192.1 0.5216
