# matchedfilter COST table -- RELATIVE cost per configuration
#
# device  AMD Radeon 8060S Graphics (RADV GFX1151)
# arch    gfx11  (also used for: gfx1151, gfx11, amd)
# commit  c4510bf
#
# Measured on a GPU, with the data already resident: host
# transfers are not part of the configuration's cost and
# would swamp the differences between configurations.
#
# U is always 2 and K is unused on this backend -- the kernel
# computes the raw coarse maximum -- so rows sharing
# (n, band, snr) share a measurement. They are emitted
# per (U, K) anyway so the table's key matches the CPU one.
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 1024 512 2 4 5.00 1.0000 49.2 0.8534
COST 1024 512 2 8 5.00 1.0000 49.2 0.8534
COST 1024 256 2 4 5.00 0.9882 48.0 0.6034
COST 1024 256 2 8 5.00 0.9882 48.0 0.6034
COST 1024 512 2 4 5.50 1.0000 49.2 1.0592
COST 1024 512 2 8 5.50 1.0000 49.2 1.0592
COST 1024 256 2 4 5.50 0.9882 48.0 0.7723
COST 1024 256 2 8 5.50 0.9882 48.0 0.7723
COST 1024 512 2 4 6.00 1.0000 49.2 1.0051
COST 1024 512 2 8 6.00 1.0000 49.2 1.0051
COST 1024 256 2 4 6.00 0.9882 48.0 0.7326
COST 1024 256 2 8 6.00 0.9882 48.0 0.7326
COST 1024 512 2 4 6.50 1.0000 49.2 0.9921
COST 1024 512 2 8 6.50 1.0000 49.2 0.9921
COST 1024 256 2 4 6.50 0.9882 48.0 0.7121
COST 1024 256 2 8 6.50 0.9882 48.0 0.7121
COST 2048 1024 2 4 5.00 1.0000 98.4 1.0606
COST 2048 1024 2 8 5.00 1.0000 98.4 1.0606
COST 2048 512 2 4 5.00 0.9882 96.1 0.7726
COST 2048 512 2 8 5.00 0.9882 96.1 0.7726
COST 2048 256 2 4 5.00 0.9583 90.4 0.6555
COST 2048 256 2 8 5.00 0.9583 90.4 0.6555
COST 2048 1024 2 4 5.50 1.0000 98.4 1.0425
COST 2048 1024 2 8 5.50 1.0000 98.4 1.0425
COST 2048 512 2 4 5.50 0.9882 96.1 0.7820
COST 2048 512 2 8 5.50 0.9882 96.1 0.7820
COST 2048 256 2 4 5.50 0.9583 90.4 0.6549
COST 2048 256 2 8 5.50 0.9583 90.4 0.6549
COST 2048 1024 2 4 6.00 1.0000 98.4 1.0274
COST 2048 1024 2 8 6.00 1.0000 98.4 1.0274
COST 2048 512 2 4 6.00 0.9882 96.1 0.7351
COST 2048 512 2 8 6.00 0.9882 96.1 0.7351
COST 2048 256 2 4 6.00 0.9583 90.4 0.6320
COST 2048 256 2 8 6.00 0.9583 90.4 0.6320
COST 2048 1024 2 4 6.50 1.0000 98.4 0.9779
COST 2048 1024 2 8 6.50 1.0000 98.4 0.9779
COST 2048 512 2 4 6.50 0.9882 96.1 0.7532
COST 2048 512 2 8 6.50 0.9882 96.1 0.7532
COST 2048 256 2 4 6.50 0.9583 90.4 0.5839
COST 2048 256 2 8 6.50 0.9583 90.4 0.5839
COST 4096 2048 2 4 5.00 1.0000 196.8 0.9900
COST 4096 2048 2 8 5.00 1.0000 196.8 0.9900
COST 4096 1024 2 4 5.00 0.9882 192.1 0.6872
COST 4096 1024 2 8 5.00 0.9882 192.1 0.6872
COST 4096 512 2 4 5.00 0.9584 180.8 0.5832
COST 4096 512 2 8 5.00 0.9584 180.8 0.5832
COST 4096 256 2 4 5.00 0.8832 154.4 0.5148
COST 4096 256 2 8 5.00 0.8832 154.4 0.5148
COST 4096 2048 2 4 5.50 1.0000 196.8 1.0037
COST 4096 2048 2 8 5.50 1.0000 196.8 1.0037
COST 4096 1024 2 4 5.50 0.9882 192.1 0.6979
COST 4096 1024 2 8 5.50 0.9882 192.1 0.6979
COST 4096 512 2 4 5.50 0.9584 180.8 0.5875
COST 4096 512 2 8 5.50 0.9584 180.8 0.5875
COST 4096 256 2 4 5.50 0.8832 154.4 0.5148
COST 4096 256 2 8 5.50 0.8832 154.4 0.5148
COST 4096 2048 2 4 6.00 1.0000 196.8 0.9760
COST 4096 2048 2 8 6.00 1.0000 196.8 0.9760
COST 4096 1024 2 4 6.00 0.9882 192.1 0.6995
COST 4096 1024 2 8 6.00 0.9882 192.1 0.6995
COST 4096 512 2 4 6.00 0.9584 180.8 0.5612
COST 4096 512 2 8 6.00 0.9584 180.8 0.5612
COST 4096 256 2 4 6.00 0.8832 154.4 0.5131
COST 4096 256 2 8 6.00 0.8832 154.4 0.5131
COST 4096 2048 2 4 6.50 1.0000 196.8 1.0151
COST 4096 2048 2 8 6.50 1.0000 196.8 1.0151
COST 4096 1024 2 4 6.50 0.9882 192.1 0.6895
COST 4096 1024 2 8 6.50 0.9882 192.1 0.6895
COST 4096 512 2 4 6.50 0.9584 180.8 0.5838
COST 4096 512 2 8 6.50 0.9584 180.8 0.5838
COST 4096 256 2 4 6.50 0.8832 154.4 0.5051
COST 4096 256 2 8 6.50 0.8832 154.4 0.5051
