# matchedfilter GPU COST table -- budget-aware relative costs
# format cost-fd-pairs-v1
# device  AMD Radeon 8060S Graphics (RADV GFX1151)
# commit  b25d6a8
# Profiles: [-2.3333333333333335, -2.0, 'pycbc']; batch shapes: [(16, 256), (16, 1024)]
# Costs are warm public-API ratios to the widest band at the same batch shape.
# Accuracy is independent and uses the profile gate.
# U=2; taps K are metadata on this GPU, so K=4 and K=8 share costs.
# COST n band U K snr fd pairs f beff relative_cost
COST 1024 256 2 4 5.00 0.0001 16384 0.972159 61.071 0.832524
COST 1024 256 2 8 5.00 0.0001 16384 0.972159 61.071 0.832524
COST 1024 512 2 4 5.00 0.0001 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 5.00 0.0001 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 5.00 0.0001 4096 0.972159 61.071 0.937070
COST 1024 256 2 8 5.00 0.0001 4096 0.972159 61.071 0.937070
COST 1024 512 2 4 5.00 0.0001 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 5.00 0.0001 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 5.00 0.0001 16384 0.988151 48.031 0.746964
COST 1024 256 2 8 5.00 0.0001 16384 0.988151 48.031 0.746964
COST 1024 512 2 4 5.00 0.0001 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 5.00 0.0001 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 5.00 0.0001 4096 0.988151 48.031 0.848380
COST 1024 256 2 8 5.00 0.0001 4096 0.988151 48.031 0.848380
COST 1024 512 2 4 5.00 0.0001 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 5.00 0.0001 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 5.00 0.001 16384 0.972159 61.071 0.823052
COST 1024 256 2 8 5.00 0.001 16384 0.972159 61.071 0.823052
COST 1024 512 2 4 5.00 0.001 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 5.00 0.001 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 5.00 0.001 4096 0.972159 61.071 0.850806
COST 1024 256 2 8 5.00 0.001 4096 0.972159 61.071 0.850806
COST 1024 512 2 4 5.00 0.001 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 5.00 0.001 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 5.00 0.001 16384 0.988151 48.031 0.772524
COST 1024 256 2 8 5.00 0.001 16384 0.988151 48.031 0.772524
COST 1024 512 2 4 5.00 0.001 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 5.00 0.001 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 5.00 0.001 4096 0.988151 48.031 0.818152
COST 1024 256 2 8 5.00 0.001 4096 0.988151 48.031 0.818152
COST 1024 512 2 4 5.00 0.001 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 5.00 0.001 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 5.00 0.01 16384 0.972159 61.071 0.789240
COST 1024 256 2 8 5.00 0.01 16384 0.972159 61.071 0.789240
COST 1024 512 2 4 5.00 0.01 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 5.00 0.01 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 5.00 0.01 4096 0.972159 61.071 0.795243
COST 1024 256 2 8 5.00 0.01 4096 0.972159 61.071 0.795243
COST 1024 512 2 4 5.00 0.01 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 5.00 0.01 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 5.00 0.01 16384 0.988151 48.031 0.747853
COST 1024 256 2 8 5.00 0.01 16384 0.988151 48.031 0.747853
COST 1024 512 2 4 5.00 0.01 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 5.00 0.01 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 5.00 0.01 4096 0.988151 48.031 0.825776
COST 1024 256 2 8 5.00 0.01 4096 0.988151 48.031 0.825776
COST 1024 512 2 4 5.00 0.01 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 5.00 0.01 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 5.50 0.0001 16384 0.972159 61.071 0.773712
COST 1024 256 2 8 5.50 0.0001 16384 0.972159 61.071 0.773712
COST 1024 512 2 4 5.50 0.0001 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 5.50 0.0001 16384 1.000000 64.605 1.000000
