# matchedfilter COST table -- RELATIVE cost per configuration, measured
#
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  398fa6f
#
# Cost RELATIVE to a pivot configuration at the same transform length, not
# microseconds. Absolute time is a property of machine, load and reference
# together; the ratio is a property of the configuration, which is the only
# thing selection needs.
#
# Measured by holding ONE reference fixed and timing every configuration on
# it, cycling rather than running each to completion, and dividing by a pivot
# measured in the same loop. Clock and turbo state, contention, cache
# temperature and the machine cancel in the ratio -- which is also what makes
# it safe to measure these in parallel on every core.
#
# Ranks configurations; do not read them as predictions of runtime.
#
# Regenerate for your own CPU:
#   python tools/hmf_tune.py --retune-cost --out mycost.txt
#   export MF_COST=$PWD/mycost.txt
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 1024 256 2 4 5.00 0.8500 25.6 0.8535
COST 1024 256 2 4 5.00 0.8500 103.0 2.0462
COST 1024 256 2 4 5.00 0.9210 175.6 2.1326
COST 1024 256 2 4 5.00 0.9500 25.6 1.2140
COST 1024 256 2 4 5.00 0.9500 103.0 1.5253
COST 1024 256 2 4 5.00 1.0000 50.6 0.6085
COST 1024 256 2 4 5.50 0.8500 25.6 1.2660
COST 1024 256 2 4 5.50 0.8500 103.0 2.2623
COST 1024 256 2 4 5.50 0.9210 175.6 1.8186
COST 1024 256 2 4 5.50 0.9500 25.6 1.2260
COST 1024 256 2 4 5.50 0.9500 103.0 1.2337
COST 1024 256 2 4 5.50 1.0000 50.6 0.5956
COST 1024 256 2 4 5.75 0.8500 25.6 0.5472
COST 1024 256 2 4 5.75 0.8500 103.0 1.1864
COST 1024 256 2 4 5.75 0.9210 175.6 1.5647
COST 1024 256 2 4 5.75 0.9500 25.6 0.5863
COST 1024 256 2 4 5.75 0.9500 103.0 0.7808
COST 1024 256 2 4 5.75 1.0000 50.6 0.6175
COST 1024 256 2 4 6.00 0.8500 25.6 0.7822
COST 1024 256 2 4 6.00 0.8500 103.0 1.1222
COST 1024 256 2 4 6.00 0.9210 175.6 1.3424
COST 1024 256 2 4 6.00 0.9500 25.6 0.7669
COST 1024 256 2 4 6.00 0.9500 103.0 0.9101
COST 1024 256 2 4 6.00 1.0000 50.6 0.5848
COST 1024 256 2 4 6.50 0.8500 25.6 0.7769
COST 1024 256 2 4 6.50 0.8500 103.0 0.9374
COST 1024 256 2 4 6.50 0.9210 175.6 1.0456
COST 1024 256 2 4 6.50 0.9500 25.6 0.8522
COST 1024 256 2 4 6.50 0.9500 103.0 0.8241
COST 1024 256 2 4 6.50 1.0000 50.6 0.5797
COST 1024 256 2 8 5.00 0.8500 25.6 0.8476
COST 1024 256 2 8 5.00 0.8500 103.0 0.8877
COST 1024 256 2 8 5.00 0.9210 175.6 0.7597
COST 1024 256 2 8 5.00 0.9500 25.6 0.8158
COST 1024 256 2 8 5.00 0.9500 103.0 0.8923
COST 1024 256 2 8 5.00 1.0000 50.6 0.5802
COST 1024 256 2 8 5.50 0.8500 25.6 0.8356
COST 1024 256 2 8 5.50 0.8500 103.0 0.9606
COST 1024 256 2 8 5.50 0.9210 175.6 0.7875
COST 1024 256 2 8 5.50 0.9500 25.6 0.7873
COST 1024 256 2 8 5.50 0.9500 103.0 0.8258
COST 1024 256 2 8 5.50 1.0000 50.6 0.5780
COST 1024 256 2 8 5.75 0.8500 25.6 0.5535
COST 1024 256 2 8 5.75 0.8500 103.0 0.8005
COST 1024 256 2 8 5.75 0.9210 175.6 0.8929
COST 1024 256 2 8 5.75 0.9500 25.6 0.6117
COST 1024 256 2 8 5.75 0.9500 103.0 0.6261
COST 1024 256 2 8 5.75 1.0000 50.6 0.5763
COST 1024 256 2 8 6.00 0.8500 25.6 0.7613
COST 1024 256 2 8 6.00 0.8500 103.0 0.8349
COST 1024 256 2 8 6.00 0.9210 175.6 0.8083
COST 1024 256 2 8 6.00 0.9500 25.6 0.7634
COST 1024 256 2 8 6.00 0.9500 103.0 0.7685
COST 1024 256 2 8 6.00 1.0000 50.6 0.5779
COST 1024 256 2 8 6.50 0.8500 25.6 0.7565
COST 1024 256 2 8 6.50 0.8500 103.0 0.7793
COST 1024 256 2 8 6.50 0.9210 175.6 0.6913
COST 1024 256 2 8 6.50 0.9500 25.6 0.7567
COST 1024 256 2 8 6.50 0.9500 103.0 0.7633
COST 1024 256 2 8 6.50 1.0000 50.6 0.5821
COST 1024 512 2 4 5.00 1.0000 28.4 1.0578
COST 1024 512 2 4 5.00 1.0000 35.3 1.1433
COST 1024 512 2 4 5.00 1.0000 50.6 1.0135
COST 1024 512 2 4 5.00 1.0000 114.0 0.9983
COST 1024 512 2 4 5.00 1.0000 140.8 1.0641
COST 1024 512 2 4 5.00 1.0000 205.5 1.0800
COST 1024 512 2 4 5.50 1.0000 28.4 1.0031
COST 1024 512 2 4 5.50 1.0000 35.3 1.0415
COST 1024 512 2 4 5.50 1.0000 50.6 1.0314
COST 1024 512 2 4 5.50 1.0000 114.0 1.0196
COST 1024 512 2 4 5.50 1.0000 140.8 1.0094
COST 1024 512 2 4 5.50 1.0000 205.5 1.0199
COST 1024 512 2 4 5.75 1.0000 28.4 0.9858
COST 1024 512 2 4 5.75 1.0000 35.3 0.8925
COST 1024 512 2 4 5.75 1.0000 50.6 1.0184
COST 1024 512 2 4 5.75 1.0000 114.0 1.0217
COST 1024 512 2 4 5.75 1.0000 140.8 1.0066
COST 1024 512 2 4 5.75 1.0000 205.5 1.0088
COST 1024 512 2 4 6.00 1.0000 28.4 0.9459
COST 1024 512 2 4 6.00 1.0000 35.3 1.0812
COST 1024 512 2 4 6.00 1.0000 50.6 1.0345
COST 1024 512 2 4 6.00 1.0000 114.0 1.0236
COST 1024 512 2 4 6.00 1.0000 140.8 1.0113
COST 1024 512 2 4 6.00 1.0000 205.5 0.9951
COST 1024 512 2 4 6.50 1.0000 28.4 0.9902
COST 1024 512 2 4 6.50 1.0000 35.3 1.0855
COST 1024 512 2 4 6.50 1.0000 50.6 1.0124
COST 1024 512 2 4 6.50 1.0000 114.0 0.9857
COST 1024 512 2 4 6.50 1.0000 140.8 0.9851
COST 1024 512 2 4 6.50 1.0000 205.5 1.0331
COST 1024 512 2 8 5.00 1.0000 28.4 1.0000
COST 1024 512 2 8 5.00 1.0000 35.3 1.0000
COST 1024 512 2 8 5.00 1.0000 50.6 1.0000
COST 1024 512 2 8 5.00 1.0000 114.0 1.0000
COST 1024 512 2 8 5.00 1.0000 140.8 1.0000
COST 1024 512 2 8 5.00 1.0000 205.5 1.0000
COST 1024 512 2 8 5.50 1.0000 28.4 1.0000
COST 1024 512 2 8 5.50 1.0000 35.3 1.0000
COST 1024 512 2 8 5.50 1.0000 50.6 1.0000
COST 1024 512 2 8 5.50 1.0000 114.0 1.0000
COST 1024 512 2 8 5.50 1.0000 140.8 1.0000
COST 1024 512 2 8 5.50 1.0000 205.5 1.0000
COST 1024 512 2 8 5.75 1.0000 28.4 1.0000
COST 1024 512 2 8 5.75 1.0000 35.3 1.0000
COST 1024 512 2 8 5.75 1.0000 50.6 1.0000
COST 1024 512 2 8 5.75 1.0000 114.0 1.0000
COST 1024 512 2 8 5.75 1.0000 140.8 1.0000
COST 1024 512 2 8 5.75 1.0000 205.5 1.0000
COST 1024 512 2 8 6.00 1.0000 28.4 1.0000
COST 1024 512 2 8 6.00 1.0000 35.3 1.0000
COST 1024 512 2 8 6.00 1.0000 50.6 1.0000
COST 1024 512 2 8 6.00 1.0000 114.0 1.0000
COST 1024 512 2 8 6.00 1.0000 140.8 1.0000
COST 1024 512 2 8 6.00 1.0000 205.5 1.0000
COST 1024 512 2 8 6.50 1.0000 28.4 1.0000
COST 1024 512 2 8 6.50 1.0000 35.3 1.0000
COST 1024 512 2 8 6.50 1.0000 50.6 1.0000
COST 1024 512 2 8 6.50 1.0000 114.0 1.0000
COST 1024 512 2 8 6.50 1.0000 140.8 1.0000
COST 1024 512 2 8 6.50 1.0000 205.5 1.0000
COST 2048 256 2 4 5.00 0.7130 228.0 1.4448
COST 2048 256 2 4 5.00 0.7830 175.6 1.0705
COST 2048 256 2 4 5.00 0.8500 25.6 0.6199
COST 2048 256 2 4 5.00 0.8500 50.6 0.6380
COST 2048 256 2 4 5.00 0.8500 103.0 1.8483
COST 2048 256 2 4 5.00 0.8750 175.6 1.7846
COST 2048 256 2 4 5.00 0.9500 25.6 0.3697
COST 2048 256 2 4 5.00 0.9500 50.6 0.5326
COST 2048 256 2 4 5.00 0.9500 103.0 1.1671
