# matchedfilter COARSE THRESHOLD table -- measured, not modelled.
#
# THR n snr f ratio fd threshold
#
# The threshold the coarse maximum is compared against. Bisected
# directly against measured false dismissal until the rate meets fd,
# so the number stored IS the measurement: nothing derives it and
# nothing corrects it. It replaces hmf_threshold's Rice model plus a
# margin, which were two answers to one question.
#
# ratio = band / B_eff, the samples across the correlation peak. That
# is what scalloping depends on, it is dimensionless, and there is no
# n in it. Real references sit at 1.7 to 5.3; the old grid started at 8.
# 6000 trials a bisection step, 9 steps.
THR 1024 5.00 0.5000 1.200 1e-02 2.9805
THR 1024 5.00 0.5000 1.500 1e-02 3.0039
THR 1024 5.00 0.5000 2.000 1e-02 2.9980
THR 1024 5.00 0.5000 3.000 1e-02 3.0215
THR 1024 5.00 0.5000 4.000 1e-02 3.0156
THR 1024 5.00 0.5000 6.000 1e-02 2.9512
THR 1024 5.00 0.5000 8.000 1e-02 2.9102
THR 1024 5.00 0.5000 16.000 1e-02 2.8047
THR 1024 5.00 0.6000 1.200 1e-02 3.0801
THR 1024 5.00 0.6000 1.500 1e-02 3.1035
THR 1024 5.00 0.6000 2.000 1e-02 3.1562
THR 1024 5.00 0.6000 3.000 1e-02 3.1738
THR 1024 5.00 0.6000 4.000 1e-02 3.1621
THR 1024 5.00 0.6000 6.000 1e-02 3.1914
THR 1024 5.00 0.6000 8.000 1e-02 3.1621
THR 1024 5.00 0.6000 16.000 1e-02 3.1855
THR 1024 5.00 0.7000 1.200 1e-02 3.1738
THR 1024 5.00 0.7000 1.500 1e-02 3.2324
THR 1024 5.00 0.7000 2.000 1e-02 3.2734
THR 1024 5.00 0.7000 3.000 1e-02 3.3965
THR 1024 5.00 0.7000 4.000 1e-02 3.4434
THR 1024 5.00 0.7000 6.000 1e-02 3.4902
THR 1024 5.00 0.7000 8.000 1e-02 3.5020
THR 1024 5.00 0.7000 16.000 1e-02 3.4961
THR 1024 5.00 0.8000 1.200 1e-02 3.3086
THR 1024 5.00 0.8000 1.500 1e-02 3.3965
THR 1024 5.00 0.8000 2.000 1e-02 3.4902
THR 1024 5.00 0.8000 3.000 1e-02 3.7070
THR 1024 5.00 0.8000 4.000 1e-02 3.7773
THR 1024 5.00 0.8000 6.000 1e-02 3.8770
THR 1024 5.00 0.8000 8.000 1e-02 3.9180
THR 1024 5.00 0.8000 16.000 1e-02 3.9531
THR 1024 5.00 0.9000 1.200 1e-02 3.4316
THR 1024 5.00 0.9000 1.500 1e-02 3.5781
