# EXPERIMENTAL: re-measured CPU cost rows, n=4096 only. NOT installed.
#
# The shipped cost.txt misranks bands: selection picks the slower one at 3
# of 8 operating points on the default reference, up to 1.84x, and
# tools/score_selection.py independently scores its pick at 52% of the best
# available. No pricing rule rescues the shipped rows -- every rule
# score_cost_rule.py implements tops out at 3 of 6 correct, and the one
# that ships is already among the best. The rows are what is wrong.
#
# These are the same cells re-measured with tools/hmf_tune.py --retune-cost,
# which could not run at all until d40f8a0 (it died on band 64's missing
# threshold after 160 rows -- a fair explanation for how the table drifted
# this far unnoticed).
#
# WHAT THEY CHANGE, measured against the clock at n=4096:
#
#   reference   snr   old pick -> new    t(old)   t(new)   effect
#   inspiral    6.0     256  ->  512      408us    207us   1.97x FASTER
#   shallow     5.5     512  -> 1024      981us    587us   1.67x FASTER
#   steep       5.5     256  ->  512      294us    208us   1.41x FASTER
#   steep       6.0     256  ->  512      136us    205us   1.50x slower
#
#   total over the four changed points: 1819us -> 1207us = 1.51x net
#
# Correct at 4 of 6 sampled points against the shipped table's 2 of 6. The
# n=4096 rows are COMPLETE -- 48 keys, 9560 rows, unchanged between two
# snapshots of the run -- so this is not a partial result.
#
# WHY NOT INSTALLED. One point regresses, which rules out "the rows were
# merely stale" -- fresher rows cannot make a correct ranking wrong -- and
# the run was stopped before covering every size the shipped table does
# (it reached n=1024, 2048, 4096, 16384 and part of 32768). Dropping these
# in wholesale would replace rows for sizes that were never re-measured.
# Installing wants a completed run and a human on the 1.50x regression.
#
# Measured on Ryzen AI Max+ 395, AVX3, with the gate as it ships.
#
# n band U K snr f beff margin relative_cost
COST 4096 64 2 4 5.00 0.800000 2.025 1.000 0.177976
COST 4096 64 2 8 5.00 0.800000 2.025 1.000 0.170268
COST 4096 128 2 4 5.00 0.829780 2.179 1.000 0.271851
COST 4096 128 2 8 5.00 0.829780 2.179 1.000 0.432629
COST 4096 256 2 4 5.00 0.876782 2.433 1.000 0.448593
COST 4096 256 2 8 5.00 0.876782 2.433 1.000 0.374304
COST 4096 512 2 4 5.00 0.935696 2.770 1.000 0.520738
COST 4096 512 2 8 5.00 0.935696 2.770 1.000 0.665052
COST 4096 1024 2 4 5.00 0.983141 3.058 1.000 1.730713
COST 4096 1024 2 8 5.00 0.983141 3.058 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 3.164 1.000 2.852492
COST 4096 2048 2 8 5.00 1.000000 3.164 1.000 3.346270
COST 4096 64 2 4 5.00 0.800000 2.026 1.000 0.198281
COST 4096 64 2 8 5.00 0.800000 2.026 1.000 0.191809
COST 4096 128 2 4 5.00 0.800000 2.026 1.000 0.223584
COST 4096 128 2 8 5.00 0.800000 2.026 1.000 0.223946
COST 4096 256 2 4 5.00 0.855225 2.315 1.000 0.312606
COST 4096 256 2 8 5.00 0.855225 2.315 1.000 0.350117
COST 4096 512 2 4 5.00 0.924446 2.705 1.000 0.629389
COST 4096 512 2 8 5.00 0.924446 2.705 1.000 0.664545
COST 4096 1024 2 4 5.00 0.980191 3.041 1.000 0.992257
COST 4096 1024 2 8 5.00 0.980191 3.041 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 3.165 1.000 2.348418
COST 4096 2048 2 8 5.00 1.000000 3.165 1.000 2.713067
COST 4096 64 2 4 5.00 0.800000 2.026 1.000 0.181189
COST 4096 64 2 8 5.00 0.800000 2.026 1.000 0.171772
COST 4096 128 2 4 5.00 0.800000 2.026 1.000 0.188577
COST 4096 128 2 8 5.00 0.800000 2.026 1.000 0.182452
COST 4096 256 2 4 5.00 0.800000 2.026 1.000 0.306287
COST 4096 256 2 8 5.00 0.800000 2.026 1.000 0.364493
COST 4096 512 2 4 5.00 0.895625 2.540 1.000 0.614574
COST 4096 512 2 8 5.00 0.895625 2.540 1.000 0.646544
COST 4096 1024 2 4 5.00 0.972635 2.995 1.000 0.756305
COST 4096 1024 2 8 5.00 0.972635 2.995 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 3.166 1.000 2.184541
COST 4096 2048 2 8 5.00 1.000000 3.166 1.000 2.394002
COST 4096 64 2 4 5.00 0.800000 2.027 1.000 0.179341
COST 4096 64 2 8 5.00 0.800000 2.027 1.000 0.199075
COST 4096 128 2 4 5.00 0.800000 2.027 1.000 0.280687
COST 4096 128 2 8 5.00 0.800000 2.027 1.000 0.280320
COST 4096 256 2 4 5.00 0.800000 2.027 1.000 0.422428
COST 4096 256 2 8 5.00 0.800000 2.027 1.000 0.481350
COST 4096 512 2 4 5.00 0.800000 2.027 1.000 0.466940
COST 4096 512 2 8 5.00 0.800000 2.027 1.000 0.474689
COST 4096 1024 2 4 5.00 0.947564 2.843 1.000 0.878972
COST 4096 1024 2 8 5.00 0.947564 2.843 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 3.166 1.000 2.704334
COST 4096 2048 2 8 5.00 1.000000 3.166 1.000 2.421389
COST 4096 64 2 4 5.00 0.800000 2.027 1.000 0.177189
COST 4096 64 2 8 5.00 0.800000 2.027 1.000 0.181940
COST 4096 128 2 4 5.00 0.800000 2.027 1.000 0.241852
COST 4096 128 2 8 5.00 0.800000 2.027 1.000 0.245429
COST 4096 256 2 4 5.00 0.800000 2.027 1.000 0.393308
COST 4096 256 2 8 5.00 0.800000 2.027 1.000 0.395734
COST 4096 512 2 4 5.00 0.800000 2.027 1.000 0.518351
COST 4096 512 2 8 5.00 0.800000 2.027 1.000 0.424017
COST 4096 1024 2 4 5.00 0.800000 2.027 1.000 1.029634
COST 4096 1024 2 8 5.00 0.800000 2.027 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 3.166 1.000 2.467784
COST 4096 2048 2 8 5.00 1.000000 3.166 1.000 1.997532
COST 4096 64 2 4 5.00 1.000000 2.027 1.000 0.063449
COST 4096 64 2 8 5.00 1.000000 2.027 1.000 0.054941
COST 4096 128 2 4 5.00 1.000000 2.027 1.000 0.079784
COST 4096 128 2 8 5.00 1.000000 2.027 1.000 0.080125
COST 4096 256 2 4 5.00 1.000000 2.027 1.000 0.200413
COST 4096 256 2 8 5.00 1.000000 2.027 1.000 0.202492
COST 4096 512 2 4 5.00 1.000000 2.027 1.000 0.289030
COST 4096 512 2 8 5.00 1.000000 2.027 1.000 0.312614
COST 4096 1024 2 4 5.00 1.000000 2.027 1.000 0.967188
COST 4096 1024 2 8 5.00 1.000000 2.027 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 2.027 1.000 2.183940
COST 4096 2048 2 8 5.00 1.000000 2.027 1.000 2.215330
COST 4096 64 2 4 5.00 0.800000 3.932 1.000 0.361530
COST 4096 64 2 8 5.00 0.800000 3.932 1.000 0.250474
COST 4096 128 2 4 5.00 0.829780 4.230 1.000 0.316162
COST 4096 128 2 8 5.00 0.829780 4.230 1.000 0.376561
COST 4096 256 2 4 5.00 0.876782 4.723 1.000 0.368916
COST 4096 256 2 8 5.00 0.876782 4.723 1.000 0.351667
COST 4096 512 2 4 5.00 0.935696 5.378 1.000 0.570702
COST 4096 512 2 8 5.00 0.935696 5.378 1.000 0.453421
COST 4096 1024 2 4 5.00 0.983141 5.937 1.000 0.994442
COST 4096 1024 2 8 5.00 0.983141 5.937 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 6.143 1.000 2.158288
COST 4096 2048 2 8 5.00 1.000000 6.143 1.000 2.300421
COST 4096 64 2 4 5.00 0.800000 3.934 1.000 0.327601
COST 4096 64 2 8 5.00 0.800000 3.934 1.000 0.337990
COST 4096 128 2 4 5.00 0.800000 3.934 1.000 0.429767
COST 4096 128 2 8 5.00 0.800000 3.934 1.000 0.429820
COST 4096 256 2 4 5.00 0.855225 4.496 1.000 0.402472
COST 4096 256 2 8 5.00 0.855225 4.496 1.000 0.310411
COST 4096 512 2 4 5.00 0.924446 5.252 1.000 0.444488
COST 4096 512 2 8 5.00 0.924446 5.252 1.000 0.443183
COST 4096 1024 2 4 5.00 0.980191 5.904 1.000 0.891536
COST 4096 1024 2 8 5.00 0.980191 5.904 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 6.145 1.000 2.577706
COST 4096 2048 2 8 5.00 1.000000 6.145 1.000 2.136541
COST 4096 64 2 4 5.00 0.800000 3.935 1.000 0.250068
COST 4096 64 2 8 5.00 0.800000 3.935 1.000 0.277724
COST 4096 128 2 4 5.00 0.800000 3.935 1.000 0.355373
COST 4096 128 2 8 5.00 0.800000 3.935 1.000 0.271894
COST 4096 256 2 4 5.00 0.800000 3.935 1.000 0.405222
COST 4096 256 2 8 5.00 0.800000 3.935 1.000 0.470496
COST 4096 512 2 4 5.00 0.895625 4.931 1.000 0.515748
COST 4096 512 2 8 5.00 0.895625 4.931 1.000 0.645123
COST 4096 1024 2 4 5.00 0.972635 5.815 1.000 0.944015
COST 4096 1024 2 8 5.00 0.972635 5.815 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 6.147 1.000 2.192469
COST 4096 2048 2 8 5.00 1.000000 6.147 1.000 2.192275
COST 4096 64 2 4 5.00 0.800000 3.936 1.000 0.323138
COST 4096 64 2 8 5.00 0.800000 3.936 1.000 0.269427
COST 4096 128 2 4 5.00 0.800000 3.936 1.000 0.291925
COST 4096 128 2 8 5.00 0.800000 3.936 1.000 0.307602
COST 4096 256 2 4 5.00 0.800000 3.936 1.000 0.532596
COST 4096 256 2 8 5.00 0.800000 3.936 1.000 0.469373
COST 4096 512 2 4 5.00 0.800000 3.936 1.000 0.590304
COST 4096 512 2 8 5.00 0.800000 3.936 1.000 0.661386
COST 4096 1024 2 4 5.00 0.947564 5.520 1.000 1.029287
COST 4096 1024 2 8 5.00 0.947564 5.520 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 6.148 1.000 2.253333
COST 4096 2048 2 8 5.00 1.000000 6.148 1.000 2.135192
COST 4096 64 2 4 5.00 0.800000 3.936 1.000 0.190041
COST 4096 64 2 8 5.00 0.800000 3.936 1.000 0.195328
COST 4096 128 2 4 5.00 0.800000 3.936 1.000 0.292201
COST 4096 128 2 8 5.00 0.800000 3.936 1.000 0.317135
COST 4096 256 2 4 5.00 0.800000 3.936 1.000 0.357225
COST 4096 256 2 8 5.00 0.800000 3.936 1.000 0.273686
COST 4096 512 2 4 5.00 0.800000 3.936 1.000 0.427974
COST 4096 512 2 8 5.00 0.800000 3.936 1.000 0.614726
COST 4096 1024 2 4 5.00 0.800000 3.936 1.000 0.848923
COST 4096 1024 2 8 5.00 0.800000 3.936 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 6.148 1.000 1.618277
COST 4096 2048 2 8 5.00 1.000000 6.148 1.000 1.708176
COST 4096 64 2 4 5.00 1.000000 3.936 1.000 0.078040
COST 4096 64 2 8 5.00 1.000000 3.936 1.000 0.062507
COST 4096 128 2 4 5.00 1.000000 3.936 1.000 0.089762
COST 4096 128 2 8 5.00 1.000000 3.936 1.000 0.086348
COST 4096 256 2 4 5.00 1.000000 3.936 1.000 0.159628
COST 4096 256 2 8 5.00 1.000000 3.936 1.000 0.183589
COST 4096 512 2 4 5.00 1.000000 3.936 1.000 0.490685
COST 4096 512 2 8 5.00 1.000000 3.936 1.000 0.347719
COST 4096 1024 2 4 5.00 1.000000 3.936 1.000 0.934642
COST 4096 1024 2 8 5.00 1.000000 3.936 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 3.936 1.000 2.707513
COST 4096 2048 2 8 5.00 1.000000 3.936 1.000 2.718428
COST 4096 64 2 4 5.00 0.800000 8.132 1.000 0.393040
COST 4096 64 2 8 5.00 0.800000 8.132 1.000 0.462427
