# EXPERIMENTAL: do not ship as default. The sparse lookup picked a slower
# band on the inspiral reference; see docs/tooling-cleanup.md.
# Relative CPU COST rows; current runtime gate; serial interleaved timing
# cpu AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# n band U K snr f beff margin relative_cost
COST 4096 64 2 4 5.00 0.900000 8.132 1.000 0.142195
COST 4096 64 2 8 5.00 0.900000 8.132 1.000 0.134586
COST 4096 128 2 4 5.00 0.914890 8.403 1.000 0.155179
COST 4096 128 2 8 5.00 0.914890 8.403 1.000 0.153062
COST 4096 256 2 4 5.00 0.938391 8.840 1.000 0.301078
COST 4096 256 2 8 5.00 0.938391 8.840 1.000 0.300274
COST 4096 512 2 4 5.00 0.967848 9.404 1.000 0.568690
COST 4096 512 2 8 5.00 0.967848 9.404 1.000 0.559914
COST 4096 1024 2 4 5.00 0.991570 9.870 1.000 1.018914
COST 4096 1024 2 8 5.00 0.991570 9.870 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 10.039 1.000 2.930450
COST 4096 2048 2 8 5.00 1.000000 10.039 1.000 2.900411
COST 4096 64 2 4 5.00 0.900000 8.137 1.000 0.138096
COST 4096 64 2 8 5.00 0.900000 8.137 1.000 0.130644
COST 4096 128 2 4 5.00 0.900000 8.137 1.000 0.152326
COST 4096 128 2 8 5.00 0.900000 8.137 1.000 0.150683
COST 4096 256 2 4 5.00 0.927612 8.643 1.000 0.304184
COST 4096 256 2 8 5.00 0.927612 8.643 1.000 0.318290
COST 4096 512 2 4 5.00 0.962223 9.300 1.000 0.568925
COST 4096 512 2 8 5.00 0.962223 9.300 1.000 0.557804
COST 4096 1024 2 4 5.00 0.990096 9.846 1.000 0.974922
COST 4096 1024 2 8 5.00 0.990096 9.846 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 10.044 1.000 2.844454
COST 4096 2048 2 8 5.00 1.000000 10.044 1.000 2.871464
COST 4096 64 2 4 5.00 0.900000 8.139 1.000 0.141199
COST 4096 64 2 8 5.00 0.900000 8.139 1.000 0.126355
COST 4096 128 2 4 5.00 0.900000 8.139 1.000 0.153411
COST 4096 128 2 8 5.00 0.900000 8.139 1.000 0.143352
COST 4096 256 2 4 5.00 0.900000 8.139 1.000 0.288103
COST 4096 256 2 8 5.00 0.900000 8.139 1.000 0.282568
COST 4096 512 2 4 5.00 0.947813 9.026 1.000 0.556581
COST 4096 512 2 8 5.00 0.947813 9.026 1.000 0.553179
COST 4096 1024 2 4 5.00 0.986318 9.774 1.000 0.964361
COST 4096 1024 2 8 5.00 0.986318 9.774 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 10.047 1.000 2.662753
COST 4096 2048 2 8 5.00 1.000000 10.047 1.000 2.643113
COST 4096 64 2 4 5.00 0.900000 8.140 1.000 0.141361
COST 4096 64 2 8 5.00 0.900000 8.140 1.000 0.133663
COST 4096 128 2 4 5.00 0.900000 8.140 1.000 0.162244
COST 4096 128 2 8 5.00 0.900000 8.140 1.000 0.154993
COST 4096 256 2 4 5.00 0.900000 8.140 1.000 0.302593
COST 4096 256 2 8 5.00 0.900000 8.140 1.000 0.293229
COST 4096 512 2 4 5.00 0.900000 8.140 1.000 0.552488
COST 4096 512 2 8 5.00 0.900000 8.140 1.000 0.570765
COST 4096 1024 2 4 5.00 0.973782 9.528 1.000 0.998387
COST 4096 1024 2 8 5.00 0.973782 9.528 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 10.048 1.000 2.819761
COST 4096 2048 2 8 5.00 1.000000 10.048 1.000 2.827494
COST 4096 64 2 4 5.00 0.900000 8.141 1.000 0.130296
COST 4096 64 2 8 5.00 0.900000 8.141 1.000 0.128209
COST 4096 128 2 4 5.00 0.900000 8.141 1.000 0.160491
COST 4096 128 2 8 5.00 0.900000 8.141 1.000 0.150213
COST 4096 256 2 4 5.00 0.900000 8.141 1.000 0.294086
COST 4096 256 2 8 5.00 0.900000 8.141 1.000 0.292321
COST 4096 512 2 4 5.00 0.900000 8.141 1.000 0.549980
COST 4096 512 2 8 5.00 0.900000 8.141 1.000 0.553145
COST 4096 1024 2 4 5.00 0.900000 8.141 1.000 0.981289
COST 4096 1024 2 8 5.00 0.900000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 10.049 1.000 2.832398
COST 4096 2048 2 8 5.00 1.000000 10.049 1.000 2.767948
COST 4096 64 2 4 5.00 1.000000 8.141 1.000 0.093926
COST 4096 64 2 8 5.00 1.000000 8.141 1.000 0.083948
COST 4096 128 2 4 5.00 1.000000 8.141 1.000 0.117204
COST 4096 128 2 8 5.00 1.000000 8.141 1.000 0.116000
COST 4096 256 2 4 5.00 1.000000 8.141 1.000 0.247986
COST 4096 256 2 8 5.00 1.000000 8.141 1.000 0.248310
COST 4096 512 2 4 5.00 1.000000 8.141 1.000 0.521206
COST 4096 512 2 8 5.00 1.000000 8.141 1.000 0.519101
COST 4096 1024 2 4 5.00 1.000000 8.141 1.000 0.966084
COST 4096 1024 2 8 5.00 1.000000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 8.141 1.000 2.836384
COST 4096 2048 2 8 5.00 1.000000 8.141 1.000 2.862185
COST 4096 64 2 4 5.00 0.900000 32.122 1.000 0.696034
COST 4096 64 2 8 5.00 0.900000 32.122 1.000 0.586651
COST 4096 128 2 4 5.00 0.914890 33.189 1.000 0.280685
COST 4096 128 2 8 5.00 0.914890 33.189 1.000 0.270517
COST 4096 256 2 4 5.00 0.938391 34.910 1.000 0.374466
COST 4096 256 2 8 5.00 0.938391 34.910 1.000 0.373150
COST 4096 512 2 4 5.00 0.967848 37.131 1.000 0.739126
COST 4096 512 2 8 5.00 0.967848 37.131 1.000 0.701576
COST 4096 1024 2 4 5.00 0.991570 38.972 1.000 0.963530
COST 4096 1024 2 8 5.00 0.991570 38.972 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 39.637 1.000 2.748920
COST 4096 2048 2 8 5.00 1.000000 39.637 1.000 2.667837
COST 4096 64 2 4 5.00 0.882638 31.334 1.000 0.678199
COST 4096 64 2 8 5.00 0.882638 31.334 1.000 0.600443
COST 4096 128 2 4 5.00 0.900000 32.566 1.000 0.338294
COST 4096 128 2 8 5.00 0.900000 32.566 1.000 0.328293
COST 4096 256 2 4 5.00 0.927612 34.587 1.000 0.372938
COST 4096 256 2 8 5.00 0.927612 34.587 1.000 0.373346
COST 4096 512 2 4 5.00 0.962223 37.209 1.000 0.756529
COST 4096 512 2 8 5.00 0.962223 37.209 1.000 0.743357
COST 4096 1024 2 4 5.00 0.990096 39.393 1.000 1.005833
COST 4096 1024 2 8 5.00 0.990096 39.393 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 40.185 1.000 2.823409
COST 4096 2048 2 8 5.00 1.000000 40.185 1.000 2.810471
COST 4096 64 2 4 5.00 0.882277 31.342 1.000 0.665815
COST 4096 64 2 8 5.00 0.882277 31.342 1.000 0.632366
COST 4096 128 2 4 5.00 0.899651 32.576 1.000 0.339566
COST 4096 128 2 8 5.00 0.899651 32.576 1.000 0.330316
COST 4096 256 2 4 5.00 0.900000 32.601 1.000 0.406158
COST 4096 256 2 8 5.00 0.900000 32.601 1.000 0.400377
COST 4096 512 2 4 5.00 0.947813 36.143 1.000 0.694768
COST 4096 512 2 8 5.00 0.947813 36.143 1.000 0.687196
COST 4096 1024 2 4 5.00 0.986318 39.134 1.000 0.987564
COST 4096 1024 2 8 5.00 0.986318 39.134 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 40.227 1.000 2.812921
COST 4096 2048 2 8 5.00 1.000000 40.227 1.000 2.722501
COST 4096 64 2 4 5.00 0.882267 31.345 1.000 0.666271
COST 4096 64 2 8 5.00 0.882267 31.345 1.000 0.618737
COST 4096 128 2 4 5.00 0.899651 32.580 1.000 0.324891
COST 4096 128 2 8 5.00 0.899651 32.580 1.000 0.328352
COST 4096 256 2 4 5.00 0.900000 32.606 1.000 0.409741
COST 4096 256 2 8 5.00 0.900000 32.606 1.000 0.413904
COST 4096 512 2 4 5.00 0.900000 32.606 1.000 0.656979
COST 4096 512 2 8 5.00 0.900000 32.606 1.000 0.662792
COST 4096 1024 2 4 5.00 0.973782 38.152 1.000 1.006662
COST 4096 1024 2 8 5.00 0.973782 38.152 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 40.233 1.000 2.776516
COST 4096 2048 2 8 5.00 1.000000 40.233 1.000 2.718642
COST 4096 64 2 4 5.00 0.882262 31.347 1.000 0.580979
COST 4096 64 2 8 5.00 0.882262 31.347 1.000 0.536343
COST 4096 128 2 4 5.00 0.899650 32.583 1.000 0.280436
COST 4096 128 2 8 5.00 0.899650 32.583 1.000 0.277565
COST 4096 256 2 4 5.00 0.900000 32.608 1.000 0.351422
COST 4096 256 2 8 5.00 0.900000 32.608 1.000 0.359693
COST 4096 512 2 4 5.00 0.900000 32.608 1.000 0.571033
COST 4096 512 2 8 5.00 0.900000 32.608 1.000 0.566673
COST 4096 1024 2 4 5.00 0.900000 32.608 1.000 0.972984
COST 4096 1024 2 8 5.00 0.900000 32.608 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 40.233 1.000 2.407530
COST 4096 2048 2 8 5.00 1.000000 40.233 1.000 2.415476
COST 4096 64 2 4 5.00 0.980288 31.348 1.000 0.475670
COST 4096 64 2 8 5.00 0.980288 31.348 1.000 0.435884
COST 4096 128 2 4 5.00 0.999611 32.584 1.000 0.168147
COST 4096 128 2 8 5.00 0.999611 32.584 1.000 0.169205
COST 4096 256 2 4 5.00 1.000000 32.609 1.000 0.290203
COST 4096 256 2 8 5.00 1.000000 32.609 1.000 0.286597
COST 4096 512 2 4 5.00 1.000000 32.609 1.000 0.564110
COST 4096 512 2 8 5.00 1.000000 32.609 1.000 0.556124
COST 4096 1024 2 4 5.00 1.000000 32.609 1.000 1.003560
COST 4096 1024 2 8 5.00 1.000000 32.609 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.609 1.000 2.919072
COST 4096 2048 2 8 5.00 1.000000 32.609 1.000 2.892546
COST 4096 64 2 4 5.00 0.990000 8.132 1.000 0.088611
