# ACC2 rows for n=4096, measured with NO oversample.
# band measured at 1024; band is not in the key.
# 24000 trials a cell.
ACC2 4096 4 5.00 0.8000 2.03 0.900 5.5033e-05
ACC2 4096 4 5.00 0.8000 2.03 0.930 1.1007e-04
ACC2 4096 4 5.00 0.8000 2.03 0.960 1.6510e-04
ACC2 4096 4 5.00 0.8000 2.03 0.980 2.7516e-04
ACC2 4096 4 5.00 0.8000 2.03 1.000 3.3020e-04
ACC2 4096 4 5.00 0.8000 3.94 0.900 0.0000e+00
ACC2 4096 4 5.00 0.8000 3.94 0.930 5.7614e-05
ACC2 4096 4 5.00 0.8000 3.94 0.960 1.1523e-04
ACC2 4096 4 5.00 0.8000 3.94 0.980 1.7284e-04
ACC2 4096 4 5.00 0.8000 3.94 1.000 3.4568e-04
ACC2 4096 4 5.00 0.8000 8.14 0.900 0.0000e+00
ACC2 4096 4 5.00 0.8000 8.14 0.930 0.0000e+00
ACC2 4096 4 5.00 0.8000 8.14 0.960 0.0000e+00
ACC2 4096 4 5.00 0.8000 8.14 0.980 0.0000e+00
ACC2 4096 4 5.00 0.8000 8.14 1.000 2.4201e-04
ACC2 4096 4 5.00 0.8000 16.12 0.900 0.0000e+00
ACC2 4096 4 5.00 0.8000 16.12 0.930 0.0000e+00
ACC2 4096 4 5.00 0.8000 16.12 0.960 6.3004e-05
ACC2 4096 4 5.00 0.8000 16.12 0.980 1.2601e-04
ACC2 4096 4 5.00 0.8000 16.12 1.000 3.7802e-04
ACC2 4096 4 5.00 0.8000 32.61 0.900 0.0000e+00
ACC2 4096 4 5.00 0.8000 32.61 0.930 0.0000e+00
ACC2 4096 4 5.00 0.8000 32.61 0.960 6.5733e-05
ACC2 4096 4 5.00 0.8000 32.61 0.980 6.5733e-05
ACC2 4096 4 5.00 0.8000 32.61 1.000 2.6293e-04
ACC2 4096 4 5.00 0.8000 64.60 0.900 0.0000e+00
ACC2 4096 4 5.00 0.8000 64.60 0.930 0.0000e+00
ACC2 4096 4 5.00 0.8000 64.60 0.960 6.8269e-05
ACC2 4096 4 5.00 0.8000 64.60 0.980 6.8269e-05
ACC2 4096 4 5.00 0.8000 64.60 1.000 1.3654e-04
ACC2 4096 4 5.00 0.8000 128.59 0.900 0.0000e+00
ACC2 4096 4 5.00 0.8000 128.59 0.930 0.0000e+00
ACC2 4096 4 5.00 0.8000 128.59 0.960 0.0000e+00
ACC2 4096 4 5.00 0.8000 128.59 0.980 0.0000e+00
ACC2 4096 4 5.00 0.8000 128.59 1.000 7.0467e-05
ACC2 4096 4 5.00 0.9000 2.03 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9000 2.03 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9000 2.03 0.960 5.4948e-05
ACC2 4096 4 5.00 0.9000 2.03 0.980 3.8464e-04
ACC2 4096 4 5.00 0.9000 2.03 1.000 9.8907e-04
ACC2 4096 4 5.00 0.9000 3.94 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9000 3.94 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9000 3.94 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9000 3.94 0.980 2.2740e-04
ACC2 4096 4 5.00 0.9000 3.94 1.000 3.9795e-04
