# ACC2R rows: n=4096, NO oversample, keyed on band/B_eff.
# measured at band 1024; 24000 trials a cell.
# ACC2R n K snr f ratio margin dismissal
ACC2R 4096 4 5.00 0.8000 1.009 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 1.009 0.930 1.4893e-04
ACC2R 4096 4 5.00 0.8000 1.009 0.960 5.2126e-04
ACC2R 4096 4 5.00 0.8000 1.009 0.980 1.3404e-03
ACC2R 4096 4 5.00 0.8000 1.009 1.000 3.1276e-03
ACC2R 4096 4 5.00 0.8000 1.494 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 1.494 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 1.494 0.960 3.7339e-04
ACC2R 4096 4 5.00 0.8000 1.494 0.980 6.7209e-04
ACC2R 4096 4 5.00 0.8000 1.494 1.000 1.7176e-03
ACC2R 4096 4 5.00 0.8000 1.970 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 1.970 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 1.970 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.8000 1.970 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.8000 1.970 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.056 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.056 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.056 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.056 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.994 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.994 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.994 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.994 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.8000 3.994 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.8000 6.074 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 6.074 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 6.074 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.8000 6.074 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.8000 6.074 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.8000 7.963 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 7.963 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 7.963 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.8000 7.963 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.8000 7.963 1.000 7.0467e-05
ACC2R 4096 4 5.00 0.8000 15.851 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 15.851 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 15.851 0.960 6.8269e-05
ACC2R 4096 4 5.00 0.8000 15.851 0.980 6.8269e-05
ACC2R 4096 4 5.00 0.8000 15.851 1.000 1.3654e-04
ACC2R 4096 4 5.00 0.8000 31.403 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.8000 31.403 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.8000 31.403 0.960 6.5733e-05
ACC2R 4096 4 5.00 0.8000 31.403 0.980 6.5733e-05
ACC2R 4096 4 5.00 0.8000 31.403 1.000 2.6293e-04
ACC2R 4096 4 5.00 0.9000 1.009 0.900 1.4898e-02
ACC2R 4096 4 5.00 0.9000 1.009 0.930 3.3262e-02
ACC2R 4096 4 5.00 0.9000 1.009 0.960 6.2689e-02
ACC2R 4096 4 5.00 0.9000 1.009 0.980 8.7543e-02
ACC2R 4096 4 5.00 0.9000 1.009 1.000 1.1151e-01
ACC2R 4096 4 5.00 0.9000 1.494 0.900 3.8942e-03
ACC2R 4096 4 5.00 0.9000 1.494 0.930 1.0727e-02
ACC2R 4096 4 5.00 0.9000 1.494 0.960 2.2337e-02
ACC2R 4096 4 5.00 0.9000 1.494 0.980 3.5709e-02
ACC2R 4096 4 5.00 0.9000 1.494 1.000 5.2094e-02
ACC2R 4096 4 5.00 0.9000 1.970 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9000 1.970 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9000 1.970 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9000 1.970 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9000 1.970 1.000 2.1928e-04
ACC2R 4096 4 5.00 0.9000 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.056 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.056 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.056 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.056 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.994 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.994 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.994 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.994 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9000 3.994 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9000 6.074 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9000 6.074 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9000 6.074 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9000 6.074 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9000 6.074 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9000 7.963 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9000 7.963 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9000 7.963 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9000 7.963 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9000 7.963 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9000 15.851 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9000 15.851 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9000 15.851 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9000 15.851 0.980 6.6247e-05
ACC2R 4096 4 5.00 0.9000 15.851 1.000 6.6247e-05
ACC2R 4096 4 5.00 0.9000 31.403 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9000 31.403 0.930 1.2762e-04
ACC2R 4096 4 5.00 0.9000 31.403 0.960 1.2762e-04
ACC2R 4096 4 5.00 0.9000 31.403 0.980 1.2762e-04
ACC2R 4096 4 5.00 0.9000 31.403 1.000 5.7431e-04
ACC2R 4096 4 5.00 0.9500 1.009 0.900 7.0474e-02
ACC2R 4096 4 5.00 0.9500 1.009 0.930 1.0718e-01
ACC2R 4096 4 5.00 0.9500 1.009 0.960 1.4756e-01
ACC2R 4096 4 5.00 0.9500 1.009 0.980 1.8044e-01
ACC2R 4096 4 5.00 0.9500 1.009 1.000 2.1164e-01
ACC2R 4096 4 5.00 0.9500 1.494 0.900 2.4593e-02
ACC2R 4096 4 5.00 0.9500 1.494 0.930 4.5027e-02
ACC2R 4096 4 5.00 0.9500 1.494 0.960 7.5020e-02
ACC2R 4096 4 5.00 0.9500 1.494 0.980 9.7570e-02
ACC2R 4096 4 5.00 0.9500 1.494 1.000 1.2245e-01
ACC2R 4096 4 5.00 0.9500 1.970 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9500 1.970 0.930 7.2474e-05
ACC2R 4096 4 5.00 0.9500 1.970 0.960 5.7979e-04
ACC2R 4096 4 5.00 0.9500 1.970 0.980 9.4217e-04
ACC2R 4096 4 5.00 0.9500 1.970 1.000 2.1018e-03
ACC2R 4096 4 5.00 0.9500 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.056 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.056 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.056 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.056 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.994 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.994 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.994 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.994 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9500 3.994 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9500 6.074 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9500 6.074 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9500 6.074 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9500 6.074 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9500 6.074 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9500 7.963 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9500 7.963 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9500 7.963 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9500 7.963 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9500 7.963 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9500 15.851 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9500 15.851 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9500 15.851 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9500 15.851 0.980 1.3179e-04
ACC2R 4096 4 5.00 0.9500 15.851 1.000 3.2947e-04
ACC2R 4096 4 5.00 0.9500 31.403 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9500 31.403 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9500 31.403 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9500 31.403 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9500 31.403 1.000 1.9179e-04
ACC2R 4096 4 5.00 0.9800 1.009 0.900 1.3229e-01
ACC2R 4096 4 5.00 0.9800 1.009 0.930 1.7909e-01
ACC2R 4096 4 5.00 0.9800 1.009 0.960 2.3052e-01
ACC2R 4096 4 5.00 0.9800 1.009 0.980 2.6421e-01
ACC2R 4096 4 5.00 0.9800 1.009 1.000 2.9864e-01
ACC2R 4096 4 5.00 0.9800 1.494 0.900 6.0421e-02
ACC2R 4096 4 5.00 0.9800 1.494 0.930 9.4198e-02
ACC2R 4096 4 5.00 0.9800 1.494 0.960 1.3424e-01
ACC2R 4096 4 5.00 0.9800 1.494 0.980 1.6474e-01
ACC2R 4096 4 5.00 0.9800 1.494 1.000 1.9939e-01
ACC2R 4096 4 5.00 0.9800 1.970 0.900 7.1968e-05
