# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 32768 5.00 0.3000 1.200 1e-03 3.1914
THR 32768 5.00 0.3000 1.500 1e-03 3.1855
THR 32768 5.00 0.3000 2.000 1e-03 3.1973
THR 32768 5.00 0.3000 3.000 1e-03 3.1504
THR 32768 5.00 0.3000 4.000 1e-03 3.1152
THR 32768 5.00 0.3000 6.000 1e-03 3.0449
THR 32768 5.00 0.3000 8.000 1e-03 2.9277
THR 32768 5.00 0.3000 16.000 1e-03 2.6582
THR 32768 5.00 0.4000 1.200 1e-03 3.1973
THR 32768 5.00 0.4000 1.500 1e-03 3.2090
THR 32768 5.00 0.4000 2.000 1e-03 3.2207
THR 32768 5.00 0.4000 3.000 1e-03 3.1855
THR 32768 5.00 0.4000 4.000 1e-03 3.1387
THR 32768 5.00 0.4000 6.000 1e-03 3.0977
THR 32768 5.00 0.4000 8.000 1e-03 3.0215
THR 32768 5.00 0.4000 16.000 1e-03 2.7402
THR 32768 5.00 0.5000 1.200 1e-03 3.2031
THR 32768 5.00 0.5000 1.500 1e-03 3.2266
THR 32768 5.00 0.5000 2.000 1e-03 3.2500
THR 32768 5.00 0.5000 3.000 1e-03 3.1855
THR 32768 5.00 0.5000 4.000 1e-03 3.1504
THR 32768 5.00 0.5000 6.000 1e-03 3.1562
THR 32768 5.00 0.5000 8.000 1e-03 3.0508
THR 32768 5.00 0.5000 16.000 1e-03 2.8809
THR 32768 5.00 0.6000 1.200 1e-03 3.2500
THR 32768 5.00 0.6000 1.500 1e-03 3.2266
THR 32768 5.00 0.6000 2.000 1e-03 3.2852
THR 32768 5.00 0.6000 3.000 1e-03 3.1973
THR 32768 5.00 0.6000 4.000 1e-03 3.2383
THR 32768 5.00 0.6000 6.000 1e-03 3.2207
THR 32768 5.00 0.6000 8.000 1e-03 3.2148
THR 32768 5.00 0.6000 16.000 1e-03 3.0273
THR 32768 5.00 0.7000 1.200 1e-03 3.2734
THR 32768 5.00 0.7000 1.500 1e-03 3.3203
THR 32768 5.00 0.7000 2.000 1e-03 3.3203
THR 32768 5.00 0.7000 3.000 1e-03 3.3672
THR 32768 5.00 0.7000 4.000 1e-03 3.3789
THR 32768 5.00 0.7000 6.000 1e-03 3.4258
THR 32768 5.00 0.7000 8.000 1e-03 3.2969
THR 32768 5.00 0.7000 16.000 1e-03 3.2148
THR 32768 5.00 0.8000 1.200 1e-03 3.3613
THR 32768 5.00 0.8000 1.500 1e-03 3.3613
THR 32768 5.00 0.8000 2.000 1e-03 3.4199
THR 32768 5.00 0.8000 3.000 1e-03 3.5371
THR 32768 5.00 0.8000 4.000 1e-03 3.6191
THR 32768 5.00 0.8000 6.000 1e-03 3.6250
THR 32768 5.00 0.8000 8.000 1e-03 3.6367
THR 32768 5.00 0.8000 16.000 1e-03 3.5605
THR 32768 5.00 0.9000 1.200 1e-03 3.4492
THR 32768 5.00 0.9000 1.500 1e-03 3.4375
THR 32768 5.00 0.9000 2.000 1e-03 3.5664
THR 32768 5.00 0.9000 3.000 1e-03 3.8477
THR 32768 5.00 0.9000 4.000 1e-03 4.0059
THR 32768 5.00 0.9000 6.000 1e-03 4.0820
THR 32768 5.00 0.9000 8.000 1e-03 4.1172
THR 32768 5.00 0.9000 16.000 1e-03 4.0645
THR 32768 5.00 0.9500 1.200 1e-03 3.4785
THR 32768 5.00 0.9500 1.500 1e-03 3.5371
THR 32768 5.00 0.9500 2.000 1e-03 3.7246
THR 32768 5.00 0.9500 3.000 1e-03 4.0234
THR 32768 5.00 0.9500 4.000 1e-03 4.1699
THR 32768 5.00 0.9500 6.000 1e-03 4.3281
THR 32768 5.00 0.9500 8.000 1e-03 4.3281
THR 32768 5.00 0.9500 16.000 1e-03 4.3984
THR 32768 5.00 0.9800 1.200 1e-03 3.4902
THR 32768 5.00 0.9800 1.500 1e-03 3.5547
THR 32768 5.00 0.9800 2.000 1e-03 3.7773
THR 32768 5.00 0.9800 3.000 1e-03 4.1582
THR 32768 5.00 0.9800 4.000 1e-03 4.3633
THR 32768 5.00 0.9800 6.000 1e-03 4.5918
THR 32768 5.00 0.9800 8.000 1e-03 4.5742
THR 32768 5.00 0.9800 16.000 1e-03 4.6387
THR 32768 5.00 0.9950 1.200 1e-03 3.5195
THR 32768 5.00 0.9950 1.500 1e-03 3.5605
THR 32768 5.00 0.9950 2.000 1e-03 3.7949
THR 32768 5.00 0.9950 3.000 1e-03 4.2168
THR 32768 5.00 0.9950 4.000 1e-03 4.4746
THR 32768 5.00 0.9950 6.000 1e-03 4.7383
THR 32768 5.00 0.9950 8.000 1e-03 4.7910
THR 32768 5.00 0.9950 16.000 1e-03 4.8320
THR 32768 5.50 0.3000 1.200 1e-03 3.1947
THR 32768 5.50 0.3000 1.500 1e-03 3.2012
THR 32768 5.50 0.3000 2.000 1e-03 3.2205
THR 32768 5.50 0.3000 3.000 1e-03 3.1689
THR 32768 5.50 0.3000 4.000 1e-03 3.1303
THR 32768 5.50 0.3000 6.000 1e-03 3.0658
THR 32768 5.50 0.3000 8.000 1e-03 2.9691
THR 32768 5.50 0.3000 16.000 1e-03 2.7500
THR 32768 5.50 0.4000 1.200 1e-03 3.2076
THR 32768 5.50 0.4000 1.500 1e-03 3.2270
THR 32768 5.50 0.4000 2.000 1e-03 3.2398
THR 32768 5.50 0.4000 3.000 1e-03 3.1883
THR 32768 5.50 0.4000 4.000 1e-03 3.1496
THR 32768 5.50 0.4000 6.000 1e-03 3.1432
THR 32768 5.50 0.4000 8.000 1e-03 3.0529
THR 32768 5.50 0.4000 16.000 1e-03 2.8016
THR 32768 5.50 0.5000 1.200 1e-03 3.2463
THR 32768 5.50 0.5000 1.500 1e-03 3.2270
THR 32768 5.50 0.5000 2.000 1e-03 3.2850
THR 32768 5.50 0.5000 3.000 1e-03 3.1947
THR 32768 5.50 0.5000 4.000 1e-03 3.2398
THR 32768 5.50 0.5000 6.000 1e-03 3.1883
THR 32768 5.50 0.5000 8.000 1e-03 3.0723
THR 32768 5.50 0.5000 16.000 1e-03 2.9627
THR 32768 5.50 0.6000 1.200 1e-03 3.2785
THR 32768 5.50 0.6000 1.500 1e-03 3.3172
THR 32768 5.50 0.6000 2.000 1e-03 3.3172
THR 32768 5.50 0.6000 3.000 1e-03 3.2592
THR 32768 5.50 0.6000 4.000 1e-03 3.3365
THR 32768 5.50 0.6000 6.000 1e-03 3.3494
THR 32768 5.50 0.6000 8.000 1e-03 3.3301
THR 32768 5.50 0.6000 16.000 1e-03 3.1883
THR 32768 5.50 0.7000 1.200 1e-03 3.3752
THR 32768 5.50 0.7000 1.500 1e-03 3.3945
THR 32768 5.50 0.7000 2.000 1e-03 3.4332
THR 32768 5.50 0.7000 3.000 1e-03 3.4912
THR 32768 5.50 0.7000 4.000 1e-03 3.5105
THR 32768 5.50 0.7000 6.000 1e-03 3.5557
THR 32768 5.50 0.7000 8.000 1e-03 3.6395
THR 32768 5.50 0.7000 16.000 1e-03 3.4912
THR 32768 5.50 0.8000 1.200 1e-03 3.4912
THR 32768 5.50 0.8000 1.500 1e-03 3.4461
THR 32768 5.50 0.8000 2.000 1e-03 3.5234
THR 32768 5.50 0.8000 3.000 1e-03 3.8457
THR 32768 5.50 0.8000 4.000 1e-03 3.8006
THR 32768 5.50 0.8000 6.000 1e-03 3.9166
THR 32768 5.50 0.8000 8.000 1e-03 3.8779
THR 32768 5.50 0.8000 16.000 1e-03 3.9811
THR 32768 5.50 0.9000 1.200 1e-03 3.5814
THR 32768 5.50 0.9000 1.500 1e-03 3.6588
THR 32768 5.50 0.9000 2.000 1e-03 3.7684
THR 32768 5.50 0.9000 3.000 1e-03 4.1938
THR 32768 5.50 0.9000 4.000 1e-03 4.3484
THR 32768 5.50 0.9000 6.000 1e-03 4.5289
THR 32768 5.50 0.9000 8.000 1e-03 4.5482
THR 32768 5.50 0.9000 16.000 1e-03 4.5160
THR 32768 5.50 0.9500 1.200 1e-03 3.6395
THR 32768 5.50 0.9500 1.500 1e-03 3.7748
THR 32768 5.50 0.9500 2.000 1e-03 4.0648
THR 32768 5.50 0.9500 3.000 1e-03 4.4645
THR 32768 5.50 0.9500 4.000 1e-03 4.6385
THR 32768 5.50 0.9500 6.000 1e-03 4.8125
